model,parameter,ci_low,median,ci_high
Q_by_D,G,0.308722850107,0.362634450645,0.427647617153
Q_by_D,kappa,0.937975105924,0.990104372137,1.03944013153
Q_by_D,eta_D,0.0287644767498,0.0420635667266,0.0577510981107
Q_by_N,G,0.349098021619,0.357329331471,0.365472643783
Q_by_N,kappa,0.951144011891,0.993504683291,1.038989577
Q_by_N,eta_N,0.150134158556,0.163516280083,0.190943915305
Q_by_ND,G,0.35004787878,0.358421308296,0.366639643786
Q_by_ND,kappa,0.937803084066,0.991676322846,1.03737326429
Q_by_ND,eta_N,0.146347419912,0.162112804359,0.194633120269
Q_by_ND,eta_D,0.0259266129943,0.040453447702,0.0545823838785
