budget,cap,policy,mean_free_regret_improvement,relative_improvement,bootstrap_fraction_improved,material_improvement,extrapolation_non_worse,fully_feasible,upgrade_eligible,decision
1e+19,1x,balanced_mean_regret,-1.57942207146e-06,-9.49864456766e-06,0.003,False,True,True,False,REJECT
1e+19,1x,cvar90_regret,-1.59988721338e-06,-9.62172193411e-06,0.004,False,True,True,False,REJECT
1e+19,1x,minimax_regret,-1.51529927495e-10,-9.11301006008e-10,0.0695,False,True,True,False,REJECT
1e+19,1x,nominal_shared,-1.57351690039e-07,-9.46313086796e-07,0.0445,False,True,True,False,REJECT
1e+19,1x,worst_case_loss,-1.51529927495e-10,-9.11301006008e-10,0.0755,False,True,True,False,REJECT
1e+19,2x,balanced_mean_regret,-1.57236104531e-06,-9.45617955535e-06,0.0015,False,True,True,False,REJECT
1e+19,2x,cvar90_regret,-1.60652910922e-06,-9.66166629666e-06,0.0065,False,True,True,False,REJECT
1e+19,2x,minimax_regret,-1.21021487276e-09,-7.27823242093e-09,0.0665,False,True,True,False,REJECT
1e+19,2x,nominal_shared,-1.60984829467e-07,-9.68162787846e-07,0.054,False,True,True,False,REJECT
1e+19,2x,worst_case_loss,-5.79696068925e-10,-3.48629224289e-09,0.0745,False,True,True,False,REJECT
1e+19,3x,balanced_mean_regret,-1.57323986494e-06,-9.46146477672e-06,0.004,False,True,True,False,REJECT
1e+19,3x,cvar90_regret,-1.61846262658e-06,-9.73343447185e-06,0.004,False,True,True,False,REJECT
1e+19,3x,minimax_regret,0,0,0,False,True,True,False,CHAMPION
1e+19,3x,nominal_shared,-1.51271468268e-07,-9.09746632183e-07,0.0525,False,True,True,False,REJECT
1e+19,3x,worst_case_loss,0,0,0,False,True,True,False,REJECT
1e+19,5x,balanced_mean_regret,-1.57212065133e-06,-9.45473382591e-06,0.004,False,True,True,False,REJECT
1e+19,5x,cvar90_regret,-1.62754160618e-06,-9.78803545646e-06,0.0015,False,True,True,False,REJECT
1e+19,5x,minimax_regret,1.42683365123e-10,8.58097778617e-10,0.9205,False,False,True,False,REJECT
1e+19,5x,nominal_shared,-1.64917428686e-07,-9.91813440118e-07,0.0495,False,True,True,False,REJECT
1e+19,5x,worst_case_loss,1.42683365123e-10,8.58097778617e-10,0.9275,False,False,True,False,REJECT
1e+19,free,balanced_mean_regret,-1.58419950982e-06,-9.52737608266e-06,0.0015,False,True,True,False,REJECT
1e+19,free,cvar90_regret,-1.61594380321e-06,-9.71828626772e-06,0.002,False,True,True,False,REJECT
1e+19,free,minimax_regret,-7.4785498072e-09,-4.4975999629e-08,0.0705,False,True,True,False,REJECT
