budget,cap,policy,mean_improvement_vs_3x_minimax,improvement_ci05,improvement_ci95,bootstrap_fraction_improved,cluster_count,note
1e+19,1x,balanced_mean_regret,-1.57942207143e-06,-2.68645398375e-06,-5.97358720522e-07,0.003,12,same-source parameter bootstrap; not external validation
1e+19,1x,cvar90_regret,-1.59988721338e-06,-2.70219150801e-06,-5.59759603476e-07,0.004,12,same-source parameter bootstrap; not external validation
1e+19,1x,minimax_regret,-1.51529936746e-10,-3.29479327155e-10,1.88729346965e-11,0.0695,12,same-source parameter bootstrap; not external validation
1e+19,1x,nominal_shared,-1.57351690011e-07,-3.26566789967e-07,-7.04216587451e-09,0.0445,12,same-source parameter bootstrap; not external validation
1e+19,1x,worst_case_loss,-1.51529936746e-10,-3.30841067505e-10,1.70099379027e-11,0.0755,12,same-source parameter bootstrap; not external validation
1e+19,2x,balanced_mean_regret,-1.57236104529e-06,-2.66174783249e-06,-5.53367670281e-07,0.0015,12,same-source parameter bootstrap; not external validation
1e+19,2x,cvar90_regret,-1.60652910919e-06,-2.75563224304e-06,-5.98151203531e-07,0.0065,12,same-source parameter bootstrap; not external validation
1e+19,2x,minimax_regret,-1.21021485426e-09,-2.55788905242e-09,9.38271293993e-11,0.0665,12,same-source parameter bootstrap; not external validation
1e+19,2x,nominal_shared,-1.6098482943e-07,-3.31982435834e-07,3.18518313761e-09,0.054,12,same-source parameter bootstrap; not external validation
1e+19,2x,worst_case_loss,-5.79696031918e-10,-1.22590181154e-09,6.08228597117e-11,0.0745,12,same-source parameter bootstrap; not external validation
1e+19,3x,balanced_mean_regret,-1.5732398649e-06,-2.62198762619e-06,-5.4623422921e-07,0.004,12,same-source parameter bootstrap; not external validation
1e+19,3x,cvar90_regret,-1.61846262658e-06,-2.73639561622e-06,-5.60776372279e-07,0.004,12,same-source parameter bootstrap; not external validation
1e+19,3x,minimax_regret,0,0,0,0,12,same-source parameter bootstrap; not external validation
1e+19,3x,nominal_shared,-1.51271468241e-07,-3.14939796481e-07,3.17434680948e-09,0.0525,12,same-source parameter bootstrap; not external validation
1e+19,3x,worst_case_loss,0,0,0,0,12,same-source parameter bootstrap; not external validation
1e+19,5x,balanced_mean_regret,-1.57212065129e-06,-2.62521026437e-06,-5.39402752055e-07,0.004,12,same-source parameter bootstrap; not external validation
1e+19,5x,cvar90_regret,-1.62754160615e-06,-2.82555374835e-06,-5.61066603111e-07,0.0015,12,same-source parameter bootstrap; not external validation
1e+19,5x,minimax_regret,1.42683383627e-10,-2.00918707597e-11,3.12919701262e-10,0.9205,12,same-source parameter bootstrap; not external validation
1e+19,5x,nominal_shared,-1.64917428676e-07,-3.42663803719e-07,-1.93673462453e-10,0.0495,12,same-source parameter bootstrap; not external validation
1e+19,5x,worst_case_loss,1.42683383627e-10,-1.39104709233e-11,3.19725810642e-10,0.9275,12,same-source parameter bootstrap; not external validation
1e+19,free,balanced_mean_regret,-1.5841995098e-06,-2.65957368644e-06,-5.67894080267e-07,0.0015,12,same-source parameter bootstrap; not external validation
1e+19,free,cvar90_regret,-1.61594380318e-06,-2.69722799283e-06,-5.94520806707e-07,0.002,12,same-source parameter bootstrap; not external validation
1e+19,free,minimax_regret,-7.47854981646e-09,-1.60614868313e-08,7.38095098004e-10,0.0705,12,same-source parameter bootstrap; not external validation
1e+19,free,nominal_shared,-1.59810908877e-07,-3.23350858787e-07,1.44805066456e-09,0.0525,12,same-source parameter bootstrap; not external validation
1e+19,free,worst_case_loss,8.02154483578e-09,-6.25970501359e-10,1.75181411692e-08,0.9345,12,same-source parameter bootstrap; not external validation
1e+22,1x,balanced_mean_regret,2.75734253948e-09,1.8406020578e-09,3.56107097884e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,1x,cvar90_regret,3.04074225059e-09,1.95224760617e-09,4.0119701931e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,1x,minimax_regret,-2.74065955116e-12,-3.38848208751e-12,-2.05541324701e-12,0,12,same-source parameter bootstrap; not external validation
1e+22,1x,nominal_shared,3.80249461548e-09,2.12873838371e-09,5.42167167272e-09,0.9995,12,same-source parameter bootstrap; not external validation
1e+22,1x,worst_case_loss,3.64108510009e-09,2.17638180626e-09,5.0708061472e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,2x,balanced_mean_regret,2.75715824246e-09,1.9057425508e-09,3.62164007302e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,2x,cvar90_regret,3.04117719896e-09,2.00699028693e-09,4.03641394013e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,2x,minimax_regret,-1.3557303428e-12,-1.66894831288e-12,-1.02510037496e-12,0,12,same-source parameter bootstrap; not external validation
1e+22,2x,nominal_shared,3.80262044075e-09,2.21063672368e-09,5.44195020158e-09,0.9995,12,same-source parameter bootstrap; not external validation
1e+22,2x,worst_case_loss,3.64195377559e-09,2.13159545755e-09,5.04429025772e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,3x,balanced_mean_regret,2.75737788158e-09,1.85215731641e-09,3.60742670735e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,3x,cvar90_regret,3.04049633619e-09,1.97760433955e-09,4.02728407844e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,3x,minimax_regret,0,0,0,0,12,same-source parameter bootstrap; not external validation
1e+22,3x,nominal_shared,3.80249998155e-09,2.11652437058e-09,5.33050870666e-09,0.9995,12,same-source parameter bootstrap; not external validation
1e+22,3x,worst_case_loss,3.64125148552e-09,2.18483130846e-09,5.03904527734e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,5x,balanced_mean_regret,2.75783029746e-09,1.83420847955e-09,3.5719129543e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,5x,cvar90_regret,3.04051839262e-09,2.00106737662e-09,4.03475015065e-09,1,12,same-source parameter bootstrap; not external validation
