budget,split,bootstrap_replicate,cost_model,Q0,L_ctx,cap,oracle_loss,oracle_N_B,oracle_D_B,oracle_Q_B,oracle_budget_ratio
1e+19,train,172,exponential,0.2,2048,1x,3.18932272813,0.367703034747,3.13803976233,0.742985999748,1
1e+19,train,172,exponential,0.2,2048,2x,3.18932272813,0.367703073592,3.13803941931,0.742986018934,1
1e+19,train,172,exponential,0.2,2048,3x,3.18932272813,0.36770302573,3.13803993502,0.742985977043,1
1e+19,train,172,exponential,0.2,2048,5x,3.18932272813,0.36770302573,3.13803993502,0.742985977043,1
1e+19,train,172,exponential,0.2,2048,free,3.18932272813,0.36770302573,3.13803993502,0.742985977043,1
1e+19,train,172,exponential,0.2,32768,1x,3.32088135884,0.259325395461,2.29239552117,0.789363901368,1
1e+19,train,172,exponential,0.2,32768,2x,3.32088135884,0.259325369908,2.29239550243,0.789363953479,1
1e+19,train,172,exponential,0.2,32768,3x,3.32088135884,0.259325435977,2.29239508729,0.789363947716,1
1e+19,train,172,exponential,0.2,32768,5x,3.32088135884,0.259325429208,2.29239527656,0.789363907483,1
1e+19,train,172,exponential,0.2,32768,free,3.32088135884,0.259325369908,2.29239550243,0.789363953479,1
1e+19,train,172,exponential,0.8,2048,1x,3.08348301832,0.248288269228,6.28366279733,0.8,1
1e+19,train,172,exponential,0.8,2048,2x,3.08348301832,0.248288278327,6.28366256705,0.8,1
1e+19,train,172,exponential,0.8,2048,3x,3.08348301832,0.248288259708,6.28366303825,0.8,1
1e+19,train,172,exponential,0.8,2048,5x,3.08348301832,0.248288267138,6.28366285022,0.8,1
1e+19,train,172,exponential,0.8,2048,free,3.08348301832,0.248288281774,6.28366247982,0.8,1
1e+19,train,172,exponential,0.8,32768,1x,3.23032063376,0.182266584392,4.37043492864,0.8,1
1e+19,train,172,exponential,0.8,32768,2x,3.23032063376,0.182266575054,4.37043515255,0.8,1
1e+19,train,172,exponential,0.8,32768,3x,3.23032063376,0.182266579607,4.37043504337,0.8,1
1e+19,train,172,exponential,0.8,32768,5x,3.23032063376,0.182266573059,4.37043520037,0.8,1
1e+19,train,172,exponential,0.8,32768,free,3.23032063376,0.182266575111,4.37043515119,0.8,1
1e+19,train,172,power,0.2,2048,1x,3.23165924128,0.388277694729,2.98587779321,0.645560165952,1
1e+19,train,172,power,0.2,2048,2x,3.23165924128,0.388277568852,2.98587884317,0.645560097028,1
1e+19,train,172,power,0.2,2048,3x,3.23165924128,0.388277613816,2.98587814594,0.645560188807,1
1e+19,train,172,power,0.2,2048,5x,3.23165924128,0.388277692193,2.98587771362,0.645560185562,1
1e+19,train,172,power,0.2,2048,free,3.23165924128,0.388277605646,2.98587757493,0.645560317571,1
1e+19,train,172,power,0.2,32768,1x,3.36465941453,0.278581017659,2.08448488562,0.71519123979,1
1e+19,train,172,power,0.2,32768,2x,3.36465941453,0.278581017659,2.08448488562,0.71519123979,1
1e+19,train,172,power,0.2,32768,3x,3.36465941453,0.278581070203,2.08448484357,0.715191162863,1
1e+19,train,172,power,0.2,32768,5x,3.36465941453,0.278581040505,2.08448468784,0.715191262805,1
1e+19,train,172,power,0.2,32768,free,3.36465941453,0.278581017659,2.08448488562,0.71519123979,1
1e+19,train,172,power,0.8,2048,1x,3.08348301832,0.248288269228,6.28366279733,0.8,1
1e+19,train,172,power,0.8,2048,2x,3.08348301832,0.248288278327,6.28366256705,0.8,1
1e+19,train,172,power,0.8,2048,3x,3.08348301832,0.248288259708,6.28366303825,0.8,1
1e+19,train,172,power,0.8,2048,5x,3.08348301832,0.248288280091,6.2836625224,0.8,1
1e+19,train,172,power,0.8,2048,free,3.08348301832,0.248288281774,6.28366247982,0.8,1
1e+19,train,172,power,0.8,32768,1x,3.23032063376,0.182266584392,4.37043492864,0.8,1
1e+19,train,172,power,0.8,32768,2x,3.23032063376,0.182266575054,4.37043515255,0.8,1
1e+19,train,172,power,0.8,32768,3x,3.23032063376,0.182266579607,4.37043504337,0.8,1
1e+19,train,172,power,0.8,32768,5x,3.23032063376,0.182266573059,4.37043520037,0.8,1
1e+19,train,172,power,0.8,32768,free,3.23032063376,0.182266575111,4.37043515119,0.8,1
1e+19,train,172,logarithmic,0.2,2048,1x,3.20242703911,0.460841292721,1.80103131149,1,1
1e+19,train,172,logarithmic,0.2,2048,2x,3.20242703911,0.460841338873,1.80103121554,1,1
1e+19,train,172,logarithmic,0.2,2048,3x,3.20242703911,0.460841289444,1.80103131831,1,1
