kind,fold,n_test,test_families,rmse,mae,high_n,train_families,test_family_count,family_disjoint
logistic,0,20,qwen,16.56516967569879,14.227394408579775,0,22,1,True
logistic,1,14,mistral|phiminik|pythia|qwena|yik,9.532710974454112,8.441975067890166,7,18,5,True
logistic,2,14,gemmajpnit|llama|mixtralxv|phi|phismallk|yi,7.265334625689166,6.096100423679964,0,17,6,True
logistic,3,14,bloom|deepseekllm|gemmait|gptneox|metallama|opt,9.18365389227938,7.440799103929218,0,17,6,True
logistic,4,13,falcon|gemma|llamahf|mistralv|phimediumk,12.015249904043404,9.228562668461619,0,18,5,True
clipped_linear,0,20,qwen,16.82504770601216,15.394310643053842,0,22,1,True
clipped_linear,1,14,mistral|phiminik|pythia|qwena|yik,9.676118132701935,8.492902027031759,7,18,5,True
clipped_linear,2,14,gemmajpnit|llama|mixtralxv|phi|phismallk|yi,7.082298043892387,6.041160492482148,0,17,6,True
clipped_linear,3,14,bloom|deepseekllm|gemmait|gptneox|metallama|opt,8.96922587746667,7.081871386249135,0,17,6,True
clipped_linear,4,13,falcon|gemma|llamahf|mistralv|phimediumk,10.641736909865212,8.690484895506954,0,18,5,True
isotonic,0,20,qwen,15.544949180610143,13.463573049363456,0,22,1,True
isotonic,1,14,mistral|phiminik|pythia|qwena|yik,8.756638522481285,7.375599997063851,7,18,5,True
isotonic,2,14,gemmajpnit|llama|mixtralxv|phi|phismallk|yi,7.529653239816453,5.910478974975375,0,17,6,True
isotonic,3,14,bloom|deepseekllm|gemmait|gptneox|metallama|opt,9.65861431521082,7.437193803262934,0,17,6,True
isotonic,4,13,falcon|gemma|llamahf|mistralv|phimediumk,11.860499457383282,9.323785851757,0,18,5,True
probit,0,20,qwen,16.573667890429007,14.41725432548144,0,22,1,True
probit,1,14,mistral|phiminik|pythia|qwena|yik,9.52819380598815,8.421113494038062,7,18,5,True
probit,2,14,gemmajpnit|llama|mixtralxv|phi|phismallk|yi,7.226935562257078,6.090443782822816,0,17,6,True
probit,3,14,bloom|deepseekllm|gemmait|gptneox|metallama|opt,9.15262783294333,7.355949291259702,0,17,6,True
probit,4,13,falcon|gemma|llamahf|mistralv|phimediumk,11.827488110189012,9.124753162640033,0,18,5,True
log_loss_logistic,0,20,qwen,16.625472436830098,13.961383656638281,0,22,1,True
log_loss_logistic,1,14,mistral|phiminik|pythia|qwena|yik,9.50633597382522,8.466464121251963,7,18,5,True
log_loss_logistic,2,14,gemmajpnit|llama|mixtralxv|phi|phismallk|yi,7.373788079282714,6.117457698775494,0,17,6,True
log_loss_logistic,3,14,bloom|deepseekllm|gemmait|gptneox|metallama|opt,9.245134474119327,7.595787325043962,0,17,6,True
log_loss_logistic,4,13,falcon|gemma|llamahf|mistralv|phimediumk,12.403136021641053,9.482955709089518,0,18,5,True
