subset,window_quarters,metric,n_min,targets,mae,max_abs_error
inherited_C2_aligned_cutoff,1,p90,1,3,4.36409356782388,6.274961193102666
inherited_C2_aligned_cutoff,1,p90,3,3,4.36409356782388,6.274961193102666
inherited_C2_aligned_cutoff,1,p90,5,3,4.36409356782388,6.274961193102666
inherited_C2_aligned_cutoff,1,p90,10,3,4.36409356782388,6.274961193102666
inherited_C2_aligned_cutoff,1,p95,1,3,4.167398002961735,6.939719042679158
inherited_C2_aligned_cutoff,1,p95,3,3,4.167398002961735,6.939719042679158
inherited_C2_aligned_cutoff,1,p95,5,3,4.167398002961735,6.939719042679158
inherited_C2_aligned_cutoff,1,p95,10,3,4.167398002961735,6.939719042679158
inherited_C2_aligned_cutoff,1,top3,1,3,5.534749043216432,6.556725319995081
inherited_C2_aligned_cutoff,1,top3,3,3,5.534749043216432,6.556725319995081
inherited_C2_aligned_cutoff,1,top3,5,3,5.534749043216432,6.556725319995081
inherited_C2_aligned_cutoff,1,top3,10,3,5.534749043216432,6.556725319995081
inherited_C2_aligned_cutoff,2,p90,1,2,4.1561711574486075,8.060451401368702
inherited_C2_aligned_cutoff,2,p90,3,2,4.1561711574486075,8.060451401368702
inherited_C2_aligned_cutoff,2,p90,5,2,4.1561711574486075,8.060451401368702
inherited_C2_aligned_cutoff,2,p90,10,2,4.1561711574486075,8.060451401368702
inherited_C2_aligned_cutoff,2,p95,1,2,2.994816635980545,4.858868119030653
inherited_C2_aligned_cutoff,2,p95,3,2,2.994816635980545,4.858868119030653
inherited_C2_aligned_cutoff,2,p95,5,2,2.994816635980545,4.858868119030653
inherited_C2_aligned_cutoff,2,p95,10,2,2.994816635980545,4.858868119030653
inherited_C2_aligned_cutoff,2,top3,1,2,4.642993407066058,6.415288207192376
inherited_C2_aligned_cutoff,2,top3,3,2,4.642993407066058,6.415288207192376
inherited_C2_aligned_cutoff,2,top3,5,2,4.642993407066058,6.415288207192376
inherited_C2_aligned_cutoff,2,top3,10,2,4.642993407066058,6.415288207192376
inherited_C2_aligned_cutoff,3,p90,1,1,1.6489516842774066,1.6489516842774066
inherited_C2_aligned_cutoff,3,p90,3,1,1.6489516842774066,1.6489516842774066
inherited_C2_aligned_cutoff,3,p90,5,1,1.6489516842774066,1.6489516842774066
inherited_C2_aligned_cutoff,3,p90,10,1,1.6489516842774066,1.6489516842774066
inherited_C2_aligned_cutoff,3,p95,1,1,0.8455083697556489,0.8455083697556489
inherited_C2_aligned_cutoff,3,p95,3,1,0.8455083697556489,0.8455083697556489
inherited_C2_aligned_cutoff,3,p95,5,1,0.8455083697556489,0.8455083697556489
inherited_C2_aligned_cutoff,3,p95,10,1,0.8455083697556489,0.8455083697556489
inherited_C2_aligned_cutoff,3,top3,1,1,6.415288207192376,6.415288207192376
inherited_C2_aligned_cutoff,3,top3,3,1,6.415288207192376,6.415288207192376
inherited_C2_aligned_cutoff,3,top3,5,1,6.415288207192376,6.415288207192376
inherited_C2_aligned_cutoff,3,top3,10,1,6.415288207192376,6.415288207192376
inherited_C2_full_legacy_cutoff,1,p90,1,3,4.155150458670556,6.274961193102666
inherited_C2_full_legacy_cutoff,1,p90,3,3,4.155150458670556,6.274961193102666
inherited_C2_full_legacy_cutoff,1,p90,5,3,4.155150458670556,6.274961193102666
inherited_C2_full_legacy_cutoff,1,p90,10,3,4.155150458670556,6.274961193102666
