problem,model,dataset,split,metric,value,evidence_level,notes
problem1,quadratic_ALR_Ridge_V2,test_1m,retrospective_test,rmse,0.2701792457048059,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,test_1m,retrospective_test,mae,0.18895674382142047,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,test_1m,retrospective_test,spearman_mean,0.9452244396711093,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,test_1m,retrospective_test,bias,0.04636179268008989,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,test_60m,retrospective_test,rmse,1.5959032456361935,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,test_60m,retrospective_test,mae,1.5086601993763016,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,test_60m,retrospective_test,spearman_mean,0.9408450270260752,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,test_60m,retrospective_test,bias,1.50573258136836,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,test_1B,retrospective_test,rmse,2.702111047518439,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,test_1B,retrospective_test,mae,2.6202395590321403,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,test_1B,retrospective_test,spearman_mean,0.8766659622428852,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,test_1B,retrospective_test,bias,2.618575902709615,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
