model,alpha,cv_rmse,cv_rmse_sd
dummy,1.0,0.8239090875411298,0.017807303719163715
raw_ridge,0.1,0.5727095798933105,0.01386127524313395
raw_ridge,1.0,0.5725994563512041,0.01379980170072439
raw_ridge,10.0,0.5728326106653971,0.01330824686078275
raw_ridge,100.0,0.586191228340662,0.011864790277464685
raw_ridge,1000.0,0.7034003574712748,0.014982691407028705
alr_ridge,0.1,0.3938057329076123,0.019717325859545973
alr_ridge,1.0,0.3937210256372719,0.019780370341627378
alr_ridge,10.0,0.39485901931701206,0.020364826847640058
alr_ridge,100.0,0.4686591746066259,0.021442335725447164
alr_ridge,1000.0,0.7176259757675438,0.017822008627468373
quadratic_ridge,0.1,0.6047366268356258,0.059217878066470206
quadratic_ridge,1.0,0.6013221314418755,0.05561099021916557
quadratic_ridge,10.0,0.5905983995127743,0.04389376071054789
quadratic_ridge,100.0,0.5614595700677223,0.024771695617040908
quadratic_ridge,1000.0,0.5986357700555424,0.013733638974550466
extra_trees,1.0,0.4438471018936646,0.015348908701825864
