dataset,status,model,alpha,mae,rmse,r2_flat,r2_domain_mean,mape,spearman_mean,bias,mean_loss_mae
test_1m,observed,dummy,1,0.6193481061510773,0.7797898706966693,-0.015142909739923759,-0.01246901090214735,0.13550054506297246,,0.062374809864335315,0.22559881036263854
test_1m,observed,raw_ridge,1,0.38588562179674185,0.5232614036699672,0.5429019059528769,0.6186950151349415,0.08429112418898385,0.8303896442593798,0.04873509024829173,0.18067038690538112
test_1m,observed,alr_ridge,1,0.2526245320349558,0.3414547121990193,0.8053572518780029,0.7898530825556767,0.052990482314256966,0.9069111814884587,0.054002965823843486,0.19769991761000444
test_1m,observed,quadratic_ridge,100,0.3515918875909396,0.49999819506805143,0.5826418680852902,0.6653277339249493,0.0752224303446311,0.8346043254925435,0.0028856151642998873,0.14892288381728108
test_1m,observed,extra_trees,1,0.3355181884185973,0.4031743307094086,0.7286325497981908,0.5877233949906958,0.06661358688483737,0.7977691383347711,0.046238785872795986,0.10663218723558657
test_60m,observed,dummy,1,1.5236709562660298,1.6792989127387599,-8.152030288562186,-8.581195630473982,0.4730669579278221,,1.5217455985526054,1.5217455985526054
test_60m,observed,raw_ridge,1,1.514143040267819,1.6215524231761262,-7.53342591165141,-7.9507375955985475,0.4455351536624619,0.8289302251879498,1.5081058789365616,1.5081058789365618
test_60m,observed,alr_ridge,1,1.5167120340773097,1.609270783082249,-7.404651078664914,-7.908058536935987,0.43331088364435144,0.903459084546719,1.5133737545121133,1.5133737545121135
test_60m,observed,quadratic_ridge,100,1.468640040795736,1.5723680612558268,-7.023610950194714,-7.487185617206169,0.42801548441738646,0.8376024481926861,1.4622564038525698,1.46225640385257
test_60m,observed,extra_trees,1,1.5056312247900663,1.5989526525529338,-7.297220711576931,-7.839620046230561,0.43888080279108216,0.7960806138528441,1.505609574561066,1.505609574561066
test_1B,observed,dummy,1,3.1190864943142063,3.173273165573881,-262.8068710821485,-797.440038676981,1.601292111898362,,3.1190864943142063,3.1190864943142063
test_1B,observed,raw_ridge,1,3.190497023382749,3.257440604419848,-276.98681379625293,-810.72346047629,1.6331296126675765,0.710974922513384,3.1901193155655383,3.1901193155655374
test_1B,observed,alr_ridge,1,2.911448171039337,2.9820043373612557,-231.96341618579012,-585.3145095152014,1.4495222423455916,0.8881973795435332,2.911448171039337,2.9114481710393365
test_1B,observed,quadratic_ridge,100,2.9503985356816633,3.0176676701293053,-237.56899701657503,-666.2331524133739,1.492213515839797,0.805540293040293,2.9503985356816624,2.950398535681663
test_1B,observed,extra_trees,1,2.975328422358013,3.0345849481756075,-240.25136723650294,-680.9086678458608,1.4989672584641256,0.6886763877148491,2.9753284223580128,2.9753284223580123
est_10b,estimated_extrapolation,dummy,1,3.547197801812203,3.5764990543452293,-182.7156795186763,-232.98895314562196,2.0559280713658645,,3.5471978018122026,3.5471978018122026
est_10b,estimated_extrapolation,raw_ridge,1,3.5786689903037336,3.624672660146759,-187.69812225319717,-237.2848214417671,2.0338150596847124,0.48921203681599884,3.57713287093653,3.57713287093653
est_10b,estimated_extrapolation,alr_ridge,1,3.5525668729165925,3.6053638863811317,-185.69307237352905,-234.51441210054648,2.001002944962885,0.6948984069130575,3.5515473544612934,3.551547354461293
est_10b,estimated_extrapolation,quadratic_ridge,100,3.5639990130996484,3.616881102802967,-186.88774727111792,-236.16125866021963,2.0222486132309108,0.4982807960044049,3.563428939192676,3.5634289391926766
est_10b,estimated_extrapolation,extra_trees,1,3.5732907131978298,3.6262735124298784,-187.86483773630056,-236.89959496584802,2.020226623355732,0.46631050404135954,3.5732907131978293,3.5732907131978284
est_70b,estimated_extrapolation,dummy,1,3.9301108665252684,3.957772498140231,-322.8514646986418,-377.9105947528707,2.893352712002962,,3.930110866525268,3.9301108665252684
est_70b,estimated_extrapolation,raw_ridge,1,3.9612433492780927,4.010010470456451,-331.45680441482176,-386.03107094530964,2.866031979565173,0.41252692347397424,3.9600459356495947,3.9600459356495943
est_70b,estimated_extrapolation,alr_ridge,1,3.935163942513662,3.992690589272752,-328.5911374615277,-381.8419225655796,2.8245782346282775,0.6283256754634128,3.934460419174358,3.934460419174359
est_70b,estimated_extrapolation,quadratic_ridge,100,3.9465733720740084,4.002850766460744,-330.27068913013863,-384.30206094167545,2.8534376995406356,0.41436034500599983,3.9463420039057406,3.9463420039057406
est_70b,estimated_extrapolation,extra_trees,1,3.956203777910894,4.013350028737582,-332.0107786237499,-385.74520277910534,2.852555332052378,0.3803369434412228,3.956203777910894,3.9562037779108943
