family,eps,reference_index,alpha,gamma,cv_rmse_pooled,cv_rmse_fold_sd,folds
poly_alr,0.000249500998003992,11,10.0,,0.32925360643054197,0.012492079722819275,10
poly_alr,0.000249500998003992,16,10.0,,0.33174937788679976,0.010955038156997502,10
poly_alr,0.000499001996007984,11,1.0,,0.33401707455091056,0.013359989675684107,10
poly_alr,0.000499001996007984,11,10.0,,0.3342625070992937,0.014295241022623677,10
poly_alr,0.000249500998003992,11,1.0,,0.3343503168874611,0.013588028940859174,10
poly_alr,0.000249500998003992,9,10.0,,0.33606385553761736,0.014108639619507217,10
poly_alr,0.000499001996007984,16,10.0,,0.3364745406232738,0.012966320242644215,10
poly_alr,0.000499001996007984,16,1.0,,0.336533038261944,0.013974938990509621,10
poly_alr,0.000249500998003992,16,1.0,,0.33654735400781643,0.014381379540154799,10
poly_alr,0.000998003992015968,11,1.0,,0.3386522517798114,0.014184455314430841,10
poly_alr,0.000499001996007984,9,10.0,,0.3389706796316575,0.014094460448972744,10
poly_alr,0.000249500998003992,9,1.0,,0.3409832348901805,0.016180272632922803,10
poly_alr,0.000998003992015968,16,1.0,,0.34144676601302804,0.014419346453980833,10
poly_alr,0.000499001996007984,9,1.0,,0.3419988069309115,0.015524571342907564,10
poly_alr,0.000998003992015968,11,10.0,,0.34513047857448714,0.01624959294509108,10
poly_alr,0.000998003992015968,9,10.0,,0.3469915073232564,0.014357063247050772,10
poly_alr,0.000998003992015968,16,10.0,,0.3471324690675626,0.015565079879564563,10
poly_alr,0.000998003992015968,9,1.0,,0.34834239847922877,0.015312277643386041,10
alr,0.000249500998003992,11,1.0,,0.39296186957132506,0.017323739482747257,10
alr,0.000249500998003992,16,1.0,,0.39296993505565736,0.017312796903051438,10
clr,0.000249500998003992,16,10.0,,0.3929925366275101,0.01761542604310534,10
alr,0.000249500998003992,9,1.0,,0.3930000213736681,0.0172933380099729,10
ilr,0.000249500998003992,16,10.0,,0.3930029938998402,0.017584390582367722,10
ilr,0.000249500998003992,16,1.0,,0.3930077156187918,0.017276281283519143,10
clr,0.000249500998003992,16,1.0,,0.39301234741522817,0.01727887087291764,10
alr,0.000249500998003992,11,0.1,,0.39304129354828937,0.017249028726421405,10
alr,0.000249500998003992,16,0.1,,0.3930424817886498,0.017247963017178933,10
alr,0.000249500998003992,9,0.1,,0.39304695801942646,0.01724600356582979,10
ilr,0.000249500998003992,16,0.1,,0.39304799687568753,0.017244310209184984,10
clr,0.000249500998003992,16,0.1,,0.39304852219048075,0.017244563393633842,10
alr,0.000249500998003992,9,10.0,,0.3931721120392373,0.017764047308435366,10
alr,0.000499001996007984,11,1.0,,0.3937052839220346,0.017584603495703673,10
alr,0.000499001996007984,16,1.0,,0.39371568619161695,0.0175735353268577,10
clr,0.000499001996007984,16,10.0,,0.39372819313802787,0.017885312275253498,10
ilr,0.000499001996007984,16,10.0,,0.39373484094632716,0.01785445783326232,10
alr,0.000499001996007984,9,1.0,,0.3937535681119806,0.017558499121929267,10
ilr,0.000499001996007984,16,1.0,,0.3937591887240822,0.017541605277818055,10
clr,0.000499001996007984,16,1.0,,0.3937647951936061,0.017544140365118272,10
alr,0.000499001996007984,11,0.1,,0.3937941052841105,0.017513138973889078,10
alr,0.000499001996007984,16,0.1,,0.39379557466717957,0.017512051857437577,10
alr,0.000499001996007984,9,0.1,,0.3938010431194095,0.01751054505862306,10
ilr,0.000499001996007984,16,0.1,,0.39380181863036484,0.017508865662295325,10
clr,0.000499001996007984,16,0.1,,0.39380244817788723,0.017509112993446128,10
alr,0.000499001996007984,9,10.0,,0.39387411217871177,0.018030782588564036,10
alr,0.000249500998003992,16,10.0,,0.39412228136698707,0.017931563796904103,10
alr,0.000249500998003992,11,10.0,,0.3943626627736146,0.01805873959534117,10
alr,0.000499001996007984,16,10.0,,0.39491475279677446,0.018160576594543627,10
alr,0.000499001996007984,11,10.0,,0.3951698773704181,0.01828120438797942,10
alr,0.000998003992015968,11,1.0,,0.3985405309685275,0.017547238977057674,10
clr,0.000998003992015968,16,10.0,,0.39855237080108163,0.017860396154590466,10
ilr,0.000998003992015968,16,10.0,,0.3985523964216475,0.017837666926475513,10
alr,0.000998003992015968,16,1.0,,0.3985541265165761,0.01753660405548452,10
alr,0.000998003992015968,9,1.0,,0.3986040260481051,0.017532205639780755,10
ilr,0.000998003992015968,16,1.0,,0.39860685493322795,0.017515243635120786,10
clr,0.000998003992015968,16,1.0,,0.39861400751701725,0.017516916042302648,10
alr,0.000998003992015968,11,0.1,,0.3986433860620135,0.01748448130644243,10
alr,0.000998003992015968,16,0.1,,0.3986452440939232,0.01748343372611669,10
alr,0.000998003992015968,9,0.1,,0.39865220290453274,0.017483036898483,10
ilr,0.000998003992015968,16,0.1,,0.3986526392676338,0.017481348640205195,10
clr,0.000998003992015968,16,0.1,,0.3986534335900342,0.017481509212193286,10
alr,0.000998003992015968,9,10.0,,0.3986653123356437,0.018013153389493625,10
poly_alr,0.000249500998003992,9,100.0,,0.3994284910380048,0.019921552745160467,10
alr,0.000998003992015968,16,10.0,,0.3998004942109893,0.018067533477633034,10
poly_alr,0.000499001996007984,9,100.0,,0.3998488577998345,0.01942017211130449,10
alr,0.000998003992015968,11,10.0,,0.4000764039604688,0.018178745319748463,10
poly_alr,0.000998003992015968,9,100.0,,0.40411361372202015,0.018761057829661056,10
rbf_alr,0.000998003992015968,9,1.0,0.01,0.40744367446194324,0.019111524580157194,10
rbf_alr,0.000499001996007984,9,1.0,0.01,0.4095956268692162,0.01986538721917684,10
clr,0.000249500998003992,16,100.0,,0.4141096484171805,0.019919153030801866,10
clr,0.000499001996007984,16,100.0,,0.41458650410620085,0.020134964870049493,10
rbf_alr,0.000249500998003992,9,1.0,0.01,0.4150089956611658,0.020499084696065872,10
ilr,0.000249500998003992,16,100.0,,0.4165817295993535,0.019471299440218907,10
ilr,0.000499001996007984,16,100.0,,0.4171938723042235,0.019677231980182962,10
clr,0.000998003992015968,16,100.0,,0.4187588831578597,0.020096350984163572,10
poly_alr,0.000249500998003992,16,100.0,,0.42022757196648847,0.020934645863574616,10
ilr,0.000998003992015968,16,100.0,,0.4215496465219421,0.019680912829645857,10
poly_alr,0.000499001996007984,16,100.0,,0.42411420085218027,0.02076064276829345,10
poly_alr,0.000249500998003992,11,100.0,,0.4251235629044411,0.023442010728057034,10
alr,0.000499001996007984,9,100.0,,0.4267668811640206,0.021126736481616604,10
alr,0.000249500998003992,9,100.0,,0.428315263499207,0.02092318771669802,10
alr,0.000998003992015968,9,100.0,,0.42881629659301446,0.021138799945964657,10
poly_alr,0.000499001996007984,11,100.0,,0.42988675301951723,0.023044927739615303,10
poly_alr,0.000998003992015968,16,100.0,,0.4324754357810622,0.020532113377625456,10
poly_alr,0.000998003992015968,11,100.0,,0.43915120896648824,0.022323961625746964,10
rbf_alr,0.000249500998003992,16,1.0,0.01,0.4415859068126322,0.021179667572492282,10
rbf_alr,0.000499001996007984,16,1.0,0.01,0.44236350032964833,0.020791129334527425,10
rbf_alr,0.000249500998003992,11,1.0,0.01,0.4435700585213835,0.02263596515489305,10
rbf_alr,0.000499001996007984,11,1.0,0.01,0.4449996495815313,0.02183501520500413,10
rbf_alr,0.000998003992015968,16,1.0,0.01,0.44727209300052534,0.02029737617386183,10
rbf_alr,0.000998003992015968,11,1.0,0.01,0.45063646031411164,0.020760692509133295,10
rbf_alr,0.000998003992015968,11,1.0,0.05,0.4599014103192731,0.026904829079241698,10
rbf_alr,0.000499001996007984,11,1.0,0.05,0.4650717046473825,0.030030754633208152,10
alr,0.000249500998003992,16,100.0,,0.4668107295697234,0.020038733297391115,10
rbf_alr,0.000998003992015968,16,1.0,0.05,0.46849405545597245,0.024847034625155636,10
alr,0.000499001996007984,16,100.0,,0.46905889759333136,0.02005004309479742,10
rbf_alr,0.000499001996007984,16,1.0,0.05,0.4729971712832387,0.02604887192234276,10
rbf_alr,0.000249500998003992,11,1.0,0.05,0.47457038647847793,0.03270761068826822,10
alr,0.000998003992015968,16,100.0,,0.4748098885551691,0.019866423795887975,10
alr,0.000249500998003992,11,100.0,,0.4751855456641341,0.02102371968271961,10
alr,0.000499001996007984,11,100.0,,0.47807791204917754,0.020859040587636473,10
rbf_alr,0.000249500998003992,16,1.0,0.05,0.48098642623150734,0.02666147007607076,10
alr,0.000998003992015968,11,100.0,,0.48456126645387315,0.02049079251445746,10
raw,0.0,16,1.0,,0.572845186438186,0.014489898209645703,10
raw,0.0,16,0.1,,0.5729362928822628,0.014536519873026461,10
raw,0.0,16,10.0,,0.5732204105591321,0.014163249656618148,10
raw,0.0,16,100.0,,0.5868776882316896,0.013746120845216883,10
rbf_alr,0.000249500998003992,9,1.0,0.05,0.6072425257082075,0.05068424470465806,10
rbf_alr,0.000499001996007984,9,1.0,0.05,0.6107701211256017,0.05405063033435348,10
rbf_alr,0.000998003992015968,9,1.0,0.05,0.6160383877836644,0.05679971580404939,10
rbf_alr,0.000998003992015968,9,10.0,0.01,0.6691934378409293,0.03430957167551117,10
rbf_alr,0.000499001996007984,9,10.0,0.01,0.67656392516159,0.03453239549875469,10
rbf_alr,0.000249500998003992,9,10.0,0.01,0.6849007803460219,0.034329232160475155,10
rbf_alr,0.000998003992015968,16,10.0,0.01,0.7519798844815813,0.028587457270496178,10
rbf_alr,0.000499001996007984,16,10.0,0.01,0.7523919029387354,0.028352310349708903,10
rbf_alr,0.000249500998003992,16,10.0,0.01,0.7540991576909372,0.028244538159149738,10
rbf_alr,0.000998003992015968,11,10.0,0.01,0.770930863616573,0.02640370672942957,10
rbf_alr,0.000499001996007984,11,10.0,0.01,0.7710386075500111,0.0268687591199658,10
rbf_alr,0.000249500998003992,11,10.0,0.01,0.7724169447442731,0.027372234325673463,10
rbf_alr,0.000998003992015968,11,10.0,0.05,0.8249656138263121,0.03354026380866395,10
rbf_alr,0.000499001996007984,11,10.0,0.05,0.8384957715338243,0.03404974880606261,10
rbf_alr,0.000998003992015968,16,10.0,0.05,0.8392342919374847,0.039772619043786164,10
rbf_alr,0.000499001996007984,16,10.0,0.05,0.8503017881989441,0.04060471941248241,10
rbf_alr,0.000249500998003992,11,10.0,0.05,0.8533570425947049,0.03473831907693032,10
rbf_alr,0.000249500998003992,16,10.0,0.05,0.862479083602787,0.04128238615013847,10
rbf_alr,0.000249500998003992,9,10.0,0.05,1.075310949461513,0.10021566962654685,10
rbf_alr,0.000499001996007984,9,10.0,0.05,1.0825171566646257,0.10723036706699872,10
rbf_alr,0.000998003992015968,11,1.0,0.2,1.0872098466989235,0.0560802502033381,10
rbf_alr,0.000998003992015968,9,10.0,0.05,1.0923086197233571,0.11331121914534889,10
rbf_alr,0.000499001996007984,11,1.0,0.2,1.1531441124136885,0.062268861058240026,10
rbf_alr,0.000998003992015968,16,1.0,0.2,1.2079381668731624,0.07009208057011736,10
rbf_alr,0.000249500998003992,11,1.0,0.2,1.2143892552557984,0.0660531114194471,10
rbf_alr,0.000499001996007984,16,1.0,0.2,1.2636899017619114,0.0760533397932122,10
rbf_alr,0.000249500998003992,16,1.0,0.2,1.3148172630988015,0.0814430740741877,10
rbf_alr,0.000998003992015968,9,100.0,0.01,1.5828001646022147,0.056314116690869734,10
rbf_alr,0.000499001996007984,9,100.0,0.01,1.5848289982280024,0.05713124688662952,10
rbf_alr,0.000998003992015968,16,100.0,0.01,1.5862696767026132,0.04044812638382512,10
rbf_alr,0.000249500998003992,9,100.0,0.01,1.5865376036662655,0.05732221001705712,10
rbf_alr,0.000499001996007984,16,100.0,0.01,1.5870351894245003,0.04165667157847058,10
rbf_alr,0.000249500998003992,16,100.0,0.01,1.5883920075559816,0.04301942166326269,10
rbf_alr,0.000998003992015968,11,100.0,0.01,1.5966608820877406,0.04432717545328539,10
rbf_alr,0.000499001996007984,11,100.0,0.01,1.5981308054868926,0.044242545359072454,10
rbf_alr,0.000249500998003992,11,100.0,0.01,1.6001197131556086,0.044636386863253934,10
rbf_alr,0.000998003992015968,11,10.0,0.2,2.30334148944881,0.05538106592032939,10
rbf_alr,0.000249500998003992,9,1.0,0.2,2.40495442772572,0.1243627882322259,10
rbf_alr,0.000499001996007984,11,10.0,0.2,2.407313552545793,0.05611362753973186,10
rbf_alr,0.000499001996007984,9,1.0,0.2,2.4670195533825914,0.13307088263243586,10
rbf_alr,0.000998003992015968,16,10.0,0.2,2.4800380228930043,0.06295649450736605,10
rbf_alr,0.000249500998003992,11,10.0,0.2,2.5009245326040417,0.05645461144843958,10
rbf_alr,0.000998003992015968,11,100.0,0.05,2.5282529197564005,0.05443733444203074,10
rbf_alr,0.000998003992015968,9,1.0,0.2,2.5317881345129054,0.14315410804357478,10
rbf_alr,0.000499001996007984,11,100.0,0.05,2.5532881793056803,0.05456690258933025,10
rbf_alr,0.000499001996007984,16,10.0,0.2,2.5558831280267778,0.06407031690020419,10
rbf_alr,0.000998003992015968,16,100.0,0.05,2.5604062869767636,0.03989188467332128,10
rbf_alr,0.000249500998003992,11,100.0,0.05,2.5759217873325633,0.055414486691121034,10
rbf_alr,0.000499001996007984,16,100.0,0.05,2.578279001064606,0.0424212700787778,10
rbf_alr,0.000249500998003992,16,100.0,0.05,2.5951473150255397,0.045704009883746025,10
rbf_alr,0.000249500998003992,16,10.0,0.2,2.6266785362404805,0.0648771853866381,10
rbf_alr,0.000249500998003992,9,100.0,0.05,2.892271591435695,0.09109369157582195,10
rbf_alr,0.000499001996007984,9,100.0,0.05,2.906085664162748,0.0933407728870494,10
rbf_alr,0.000998003992015968,9,100.0,0.05,2.9198661695179218,0.09453924920067032,10
rbf_alr,0.000249500998003992,9,10.0,0.2,3.9794606079023596,0.08966950824726345,10
rbf_alr,0.000499001996007984,9,10.0,0.2,4.034138973218847,0.0919994439456842,10
rbf_alr,0.000998003992015968,9,10.0,0.2,4.082467151501168,0.09310788003810146,10
rbf_alr,0.000998003992015968,11,100.0,0.2,4.626677494110044,0.040309323018859006,10
rbf_alr,0.000499001996007984,11,100.0,0.2,4.682963195130637,0.03993875411324682,10
rbf_alr,0.000998003992015968,16,100.0,0.2,4.693830407858064,0.02882224763719775,10
rbf_alr,0.000249500998003992,11,100.0,0.2,4.726550329429712,0.039875605571240244,10
rbf_alr,0.000499001996007984,16,100.0,0.2,4.736871669622756,0.029486822872666768,10
rbf_alr,0.000249500998003992,16,100.0,0.2,4.772807068817363,0.030762551282454823,10
rbf_alr,0.000249500998003992,9,100.0,0.2,5.199315745851132,0.03691154403725803,10
rbf_alr,0.000499001996007984,9,100.0,0.2,5.210902452384253,0.03654852352000033,10
rbf_alr,0.000998003992015968,9,100.0,0.2,5.2202468519042,0.03595284719421846,10
