replicate,E,A,alpha,B,beta,G,kappa
0,1.689831809,0.3540007696,0.3399601916,1.240281644,0.2799065701,0.3621730238,0.9907536702
1,1.689794192,0.3539777906,0.3399759963,1.240361029,0.2798831054,0.3621732164,0.9907519326
2,1.689825068,0.3539278838,0.340035834,1.240332952,0.2798694407,0.3621693531,0.9907879537
3,1.689772779,0.3539483615,0.3400005206,1.240338939,0.2798480866,0.3621741841,0.9907428995
4,1.689864648,0.353946733,0.3399971653,1.240229462,0.27989141,0.3621794149,0.9906940743
5,1.689758526,0.3539508158,0.3399992407,1.240324601,0.2798390774,0.3621761163,0.9907247875
6,1.689867908,0.3540023992,0.3399559173,1.240217665,0.279918796,0.3621732965,0.9907511059
7,1.689799831,0.3538624712,0.3400949254,1.240409553,0.2798297333,0.362168458,0.9907963079
8,1.689716045,0.3540568719,0.3399297589,1.240345041,0.2798818013,0.3621778626,0.9907085875
9,1.689796979,0.3538980989,0.3400681403,1.240380105,0.2798449091,0.3621701551,0.990780515
10,1.689807606,0.3538678072,0.3400864801,1.240393098,0.2798319616,0.3621663862,0.9908155805
11,1.689799703,0.3539768613,0.3399785323,1.240260759,0.2798735523,0.3621803016,0.9906857856
12,1.689773204,0.3539877952,0.339972133,1.240356068,0.2798734369,0.3621718948,0.9907642156
13,1.689814144,0.3540171625,0.3399504653,1.240263436,0.2799032974,0.3621750038,0.990735236
14,1.689847882,0.3538923732,0.3400630523,1.240365536,0.2798684046,0.3621675206,0.9908050249
15,1.689783711,0.3539705283,0.3399819562,1.240332779,0.2798662084,0.3621732573,0.9907515232
16,1.689763186,0.35399435,0.3399690929,1.240300539,0.2798651397,0.362177265,0.990714122
17,1.689731885,0.3540147861,0.3399581479,1.240318612,0.2798604318,0.3621769087,0.990717478
18,1.689851958,0.3539251485,0.3400111338,1.240289415,0.2798816844,0.3621797264,0.9906911989
19,1.690195942,0.3535577959,0.3403585662,1.240336353,0.2798781569,0.3621383066,0.9910776476
20,1.689818045,0.3539967076,0.3399690164,1.240297984,0.2799019611,0.3621757519,0.9907281628
21,1.689592182,0.3540790237,0.3397636658,1.240370009,0.2798304302,0.3622248231,0.9902707416
22,1.689812212,0.3539789842,0.3399718534,1.240289243,0.2798827369,0.3621750038,0.9907352259
23,1.689828247,0.3539107081,0.340049018,1.240377862,0.2798696456,0.3621686729,0.9907942817
24,1.689764574,0.3540112206,0.339953092,1.240352201,0.2798791724,0.362170459,0.9907776484
25,1.689786781,0.3539011313,0.3400567809,1.240405592,0.2798398415,0.3621668808,0.9908109863
26,1.689768786,0.3540630549,0.339919234,1.24025273,0.2798995768,0.3621758943,0.9907269214
27,1.689781884,0.353917177,0.3400415252,1.240426802,0.279849275,0.3621664543,0.9908150202
28,1.689852222,0.3539326847,0.3400044723,1.240287513,0.2798828358,0.3621766762,0.9907196254
29,1.689899328,0.3539173076,0.3400436097,1.240301795,0.2799061954,0.3621685428,0.9907956001
30,1.68982448,0.3538743934,0.3400852728,1.240391065,0.2798508973,0.362169722,0.9907844923
31,1.689809987,0.3538636736,0.3400965024,1.240364648,0.2798295249,0.3621691161,0.9907901684
32,1.689870239,0.3540151977,0.339953087,1.240180275,0.279928129,0.3621796129,0.9906922617
33,1.689768786,0.3540630549,0.339919234,1.24025273,0.2798995768,0.3621758963,0.9907269401
34,1.689873343,0.3539113178,0.3400227154,1.240224589,0.279877368,0.3621819869,0.9906700996
35,1.689805415,0.353975952,0.3399811791,1.240325093,0.279886721,0.3621768316,0.9907182455
36,1.689837793,0.3538901753,0.3400699191,1.240328082,0.279855399,0.3621690504,0.9907908305
37,1.689484269,0.3542506054,0.3398069281,1.240397318,0.279873578,0.3621954522,0.9905445499
38,1.689804027,0.3539289681,0.3400346951,1.240383437,0.2798647494,0.3621681903,0.9907987906
39,1.689693264,0.3539899515,0.3399778094,1.240401959,0.2798345536,0.3621750871,0.9907344067
40,1.689790424,0.3539337736,0.3400132591,1.240337033,0.2798492393,0.3621721007,0.9907623263
41,1.6897059,0.3540542814,0.3399264883,1.240325103,0.279867709,0.3621772131,0.9907146396
42,1.689884645,0.3539391653,0.34000225,1.240213612,0.2798980866,0.3621804397,0.9906844865
43,1.689887901,0.3540501906,0.3399265271,1.240125047,0.2799486608,0.3621782735,0.9907047398
44,1.689822031,0.3539581437,0.3399897881,1.240248261,0.2798733635,0.3621793011,0.9906951703
45,1.689771818,0.3538796552,0.3400747437,1.240445205,0.279824793,0.3621665021,0.9908145796
46,1.689861959,0.3539365784,0.3400012986,1.240252964,0.2798841717,0.3621760221,0.9907257643
47,1.689923649,0.3539696143,0.3399801522,1.240153227,0.2799290184,0.3621786149,0.9907015911
48,1.689781444,0.3539592522,0.3399868356,1.240323893,0.2798580162,0.3621759566,0.9907263221
49,1.689857493,0.3538763848,0.3400752051,1.240367328,0.2798648729,0.3621666633,0.9908130533
50,1.689791028,0.3540280024,0.3399463306,1.240281709,0.2799031358,0.3621796176,0.9906921699
51,1.689818829,0.353954047,0.339991963,1.240303706,0.2798783412,0.3621780024,0.990707289
52,1.689839349,0.3538938526,0.3400669145,1.240415527,0.27987685,0.3621699191,0.9907826855
53,1.689771921,0.3539075218,0.3400591373,1.24045197,0.2798486009,0.3621712432,0.9907703019
54,1.689813613,0.353891915,0.3400633461,1.240431932,0.2798578917,0.3621671893,0.9908081526
55,1.689711658,0.3540273566,0.339947373,1.240340318,0.2798567281,0.3621752317,0.9907331017
56,1.689799703,0.3539768613,0.3399785323,1.240260759,0.2798735523,0.3621803016,0.9906857856
57,1.689764996,0.3539778798,0.3399813826,1.240293703,0.2798556823,0.3621778414,0.9907087142
58,1.689893841,0.3539163896,0.3400481821,1.240262537,0.279896726,0.36217038,0.9907783985
59,1.689884104,0.3539717069,0.3399812554,1.240195221,0.2799148813,0.3621810702,0.9906786634
60,1.68974301,0.3540217019,0.3399503286,1.240278487,0.2798666642,0.3621801378,0.9906873411
61,1.689886556,0.353902679,0.3400293445,1.240222624,0.2798819529,0.3621832293,0.9906585232
62,1.689781444,0.3539592522,0.3399868356,1.240323893,0.2798580162,0.3621759566,0.9907263221
63,1.689925507,0.3539070246,0.3400565975,1.240287098,0.2799183059,0.3621710313,0.9907722507
64,1.689807386,0.3539644433,0.3399874713,1.240260931,0.2798724999,0.3621815928,0.9906738161
65,1.68981197,0.3539494804,0.34000038,1.240309451,0.2798723925,0.3621771959,0.9907147972
66,1.689825869,0.3539975052,0.3399592954,1.240230999,0.2798890157,0.3621721969,0.9907614159
67,1.689819072,0.3539521198,0.3399974931,1.240305756,0.2798770761,0.3621764105,0.9907221836
68,1.689829609,0.353946633,0.3399961212,1.240291208,0.2798781525,0.3621777526,0.990709565
69,1.689795413,0.3540061161,0.339959439,1.240267682,0.2798863289,0.3621763476,0.990722721
70,1.689834549,0.3539927952,0.3399621355,1.240262837,0.279898849,0.3621728194,0.990755591
71,1.689891432,0.3540008438,0.3399539658,1.240145537,0.2799162482,0.3621707414,0.9907750069
72,1.68983667,0.3540172067,0.3399495824,1.240277296,0.2799211552,0.3621750528,0.9907347928
73,1.689837622,0.3538214172,0.3401488114,1.240396801,0.2798272764,0.3621625815,0.9908512582
74,1.689748196,0.3540473037,0.3399231475,1.240342734,0.2798842046,0.3621673231,0.9908069126
75,1.689809329,0.3539438412,0.340005986,1.240308043,0.2798646912,0.362174557,0.9907393701
76,1.689925507,0.3539070246,0.3400565975,1.240287098,0.2799183059,0.3621710313,0.9907722507
77,1.689901148,0.3538830498,0.3400770389,1.240311144,0.2798922456,0.3621704529,0.9907777027
78,1.689837657,0.3539003124,0.3400615712,1.240338699,0.2798634917,0.3621692072,0.9907892843
79,1.689748765,0.3539836938,0.3399793529,1.240363521,0.2798606376,0.3621758151,0.990727688
80,1.690058895,0.3536350135,0.340259562,1.240355451,0.2798424273,0.3621541578,0.9909297326
81,1.689856755,0.353977592,0.3399743544,1.240245109,0.2799057379,0.3621773351,0.990713538
82,1.68973827,0.354031038,0.3399427251,1.24031295,0.2798697003,0.3621738408,0.9907460393
83,1.68974545,0.3540011937,0.3399473873,1.24034398,0.279861076,0.3621758683,0.9907271809
84,1.689821382,0.3538769831,0.3400838887,1.240378483,0.2798473889,0.3621691232,0.9907901256
85,1.689700456,0.3540448711,0.3399361594,1.240359653,0.2798663735,0.3621777771,0.9907093804
86,1.689821382,0.3538769831,0.3400838887,1.240378483,0.2798473889,0.3621691232,0.9907901256
87,1.689890126,0.3538770078,0.3400771253,1.240347144,0.2798851964,0.3621681554,0.9907991089
88,1.689746053,0.3539562544,0.3399933791,1.240369336,0.2798403369,0.3621739416,0.9907452172
89,1.689881135,0.3539341782,0.3400058848,1.240215577,0.2798935015,0.3621808586,0.990680624
90,1.689838087,0.3540090127,0.3399527299,1.240245196,0.2799090569,0.3621738917,0.9907456173
