N_B,D_B,Q,factor,loss_elasticity,reducible_loss_elasticity
0.1,20,0.3,N,-0.08088653994,-0.1682213366
0.1,20,0.3,D,-0.04611469859,-0.09590565055
0.1,20,0.3,Q,-0.03318211047,-0.0690094913
0.1,20,0.6,N,-0.08366940775,-0.180722268
0.1,20,0.6,D,-0.04770125564,-0.1030326297
0.1,20,0.6,Q,-0.06900430134,-0.1490462784
0.1,20,0.9,N,-0.08667483534,-0.195353446
0.1,20,0.9,D,-0.04941469755,-0.1113740962
0.1,20,0.9,Q,-0.1086104929,-0.2447934741
0.1,300,0.3,N,-0.08864772923,-0.2056700114
0.1,300,0.3,D,-0.02368473397,-0.05495052775
0.1,300,0.3,Q,-0.03636598557,-0.08437207282
0.1,300,0.6,N,-0.09200132988,-0.2246705898
0.1,300,0.6,D,-0.0245807427,-0.06002706664
0.1,300,0.6,Q,-0.0758758507,-0.1852915838
0.1,300,0.9,N,-0.09564817519,-0.247737213
0.1,300,0.9,D,-0.02555509998,-0.06618996375
0.1,300,0.9,Q,-0.1198548046,-0.310434519
0.1,2000,0.3,N,-0.0918498243,-0.2237692205
0.1,2000,0.3,D,-0.01443062659,-0.03515662756
0.1,2000,0.3,Q,-0.03767958203,-0.09179691701
0.1,2000,0.6,N,-0.09545500173,-0.2464454462
0.1,2000,0.6,D,-0.01499703997,-0.03871931424
0.1,2000,0.6,Q,-0.07872418225,-0.203249865
0.1,2000,0.9,N,-0.09938663711,-0.2744788787
0.1,2000,0.9,D,-0.01561474352,-0.04312367755
0.1,2000,0.9,Q,-0.124539396,-0.3439439624
1,20,0.3,N,-0.04245830094,-0.1051387067
1,20,0.3,D,-0.05295443139,-0.1311300808
1,20,0.3,Q,-0.0381036816,-0.09435544327
1,20,0.6,N,-0.04414432471,-0.1161211834
1,20,0.6,D,-0.05505725766,-0.1448275391
1,20,0.6,Q,-0.07964544219,-0.2095065008
1,20,0.9,N,-0.04598472195,-0.129784545
1,20,0.9,D,-0.0573526201,-0.1618686248
1,20,0.9,Q,-0.1260575628,-0.3557773699
1,300,0.3,N,-0.04720402675,-0.1399901848
1,300,0.3,D,-0.02759030652,-0.08182293704
1,300,0.3,Q,-0.04236267505,-0.125632475
1,300,0.6,N,-0.0492973124,-0.1601587213
1,300,0.6,D,-0.02881381215,-0.0936112556
1,300,0.6,Q,-0.08894249194,-0.2889592777
1,300,0.9,N,-0.05160367177,-0.1873644906
1,300,0.9,D,-0.03016185736,-0.10951277
1,300,0.9,Q,-0.1414607465,-0.5136208295
1,2000,0.3,N,-0.0492021774,-0.1591589185
1,2000,0.3,D,-0.01691094058,-0.05470341267
1,2000,0.3,Q,-0.04415589085,-0.14283522
1,2000,0.6,N,-0.05148070896,-0.1857535737
1,2000,0.6,D,-0.01769407892,-0.06384407792
1,2000,0.6,Q,-0.09288178844,-0.3351376562
1,2000,0.9,N,-0.05400111417,-0.2233707936
1,2000,0.9,D,-0.01856034999,-0.07677323275
1,2000,0.9,Q,-0.1480328368,-0.6123246295
7,20,0.3,N,-0.02331976921,-0.06380562298
7,20,0.3,D,-0.05636084414,-0.1542098783
7,20,0.3,Q,-0.04055478651,-0.1109626513
7,20,0.6,N,-0.0243078929,-0.07179044722
7,20,0.6,D,-0.05874901037,-0.1735081583
7,20,0.6,Q,-0.08498590573,-0.250995683
7,20,0.9,N,-0.0253922835,-0.08215190798
7,20,0.9,D,-0.06136984118,-0.1985504591
7,20,0.9,Q,-0.1348871698,-0.4364018055
7,300,0.3,N,-0.02611407133,-0.09021965006
7,300,0.3,D,-0.0295777822,-0.1021861787
7,300,0.3,Q,-0.04541428256,-0.1568985788
7,300,0.6,N,-0.02735951092,-0.107056182
7,300,0.6,D,-0.03098841405,-0.1212558698
7,300,0.6,Q,-0.09565505433,-0.3742926887
7,300,0.9,N,-0.02874099806,-0.1318559878
7,300,0.9,D,-0.0325531385,-0.1493450654
7,300,0.9,Q,-0.1526759847,-0.7004364544
7,2000,0.3,N,-0.02730273544,-0.1061921092
7,2000,0.3,D,-0.01818457456,-0.07072765042
7,2000,0.3,Q,-0.04748145649,-0.1846758551
7,2000,0.6,N,-0.0286670975,-0.1303147992
7,2000,0.6,D,-0.0190932873,-0.08679420373
7,2000,0.6,Q,-0.1002266735,-0.4556100887
7,2000,0.9,N,-0.03018745933,-0.1690083487
7,2000,0.9,D,-0.02010590134,-0.1125654579
7,2000,0.9,Q,-0.1603597784,-0.8977947113
70,20,0.3,N,-0.01107206601,-0.03247517301
70,20,0.3,D,-0.05854077795,-0.1717043495
70,20,0.3,Q,-0.04212337108,-0.1235509039
70,20,0.6,N,-0.01156016632,-0.03706542815
70,20,0.6,D,-0.06112148615,-0.1959741747
70,20,0.6,Q,-0.08841791254,-0.2834948646
70,20,0.9,N,-0.01209766693,-0.04322279656
70,20,0.9,D,-0.0639633861,-0.2285297191
70,20,0.9,Q,-0.1405876235,-0.5022943915
70,300,0.3,N,-0.01245651275,-0.04818194344
70,300,0.3,D,-0.03086484351,-0.1193855916
70,300,0.3,Q,-0.04739046067,-0.1833068806
70,300,0.6,N,-0.01307773251,-0.05902759762
70,300,0.6,D,-0.03240410662,-0.1462590373
70,300,0.6,Q,-0.100025015,-0.4514724806
70,300,0.9,N,-0.01376984176,-0.07634841531
70,300,0.9,D,-0.03411902027,-0.1891766932
70,300,0.9,Q,-0.1600200551,-0.8872489487
70,2000,0.3,N,-0.01304935694,-0.05845388894
70,2000,0.3,D,-0.0190135266,-0.08517006449
70,2000,0.3,Q,-0.04964592013,-0.2223862152
70,2000,0.6,N,-0.01373273741,-0.07522152679
70,2000,0.6,D,-0.02000924406,-0.1096013012
70,2000,0.6,Q,-0.1050348188,-0.5753317204
70,2000,0.9,N,-0.01449794044,-0.105812409
70,2000,0.9,D,-0.02112418086,-0.1541736548
70,2000,0.9,Q,-0.1684813281,-1.229651568
120,20,0.3,N,-0.009268736162,-0.02747709783
120,20,0.3,D,-0.05886174749,-0.1744952026
120,20,0.3,Q,-0.04235432666,-0.1255590791
120,20,0.6,N,-0.009679678209,-0.03143310721
120,20,0.6,D,-0.06147146326,-0.1996181127
120,20,0.6,Q,-0.08892418697,-0.2887661596
120,20,0.9,N,-0.01013244137,-0.03676839786
120,20,0.9,D,-0.0643467669,-0.2335002435
120,20,0.9,Q,-0.1414302711,-0.5132193011
120,300,0.3,N,-0.01043484909,-0.04108954041
120,300,0.3,D,-0.03105536109,-0.1222873952
120,300,0.3,Q,-0.04768298495,-0.1877623644
120,300,0.6,N,-0.01095861975,-0.05061564103
120,300,0.6,D,-0.03261416534,-0.150638212
120,300,0.6,Q,-0.1006734243,-0.4649901194
120,300,0.9,N,-0.01154253968,-0.06604837834
120,300,0.9,D,-0.03435198101,-0.1965678872
120,300,0.9,Q,-0.1611126536,-0.9219140495
120,2000,0.3,N,-0.01093468836,-0.05010910875
120,2000,0.3,D,-0.0191365121,-0.0876946406
120,2000,0.3,Q,-0.04996704562,-0.2289780962
120,2000,0.6,N,-0.01151122525,-0.0650360121
120,2000,0.6,D,-0.02014549423,-0.1138178237
120,2000,0.6,Q,-0.1057500388,-0.5974655742
120,2000,0.9,N,-0.01215725598,-0.09293874762
120,2000,0.9,D,-0.02127609572,-0.1626496714
120,2000,0.9,Q,-0.1696929641,-1.297254215
300,20,0.3,N,-0.006837715723,-0.02056736767
300,20,0.3,D,-0.05929443789,-0.1783534962
300,20,0.3,Q,-0.04266567165,-0.1283353376
300,20,0.6,N,-0.007143203242,-0.02360369131
300,20,0.6,D,-0.0619435259,-0.2046835033
300,20,0.6,Q,-0.08960706946,-0.2960937181
300,20,0.9,N,-0.007480010597,-0.02772949137
300,20,0.9,D,-0.0648642093,-0.2404610941
300,20,0.9,Q,-0.1425675779,-0.5285188264
300,300,0.3,N,-0.007705104448,-0.03109730059
300,300,0.3,D,-0.03131260683,-0.1263756453
300,300,0.3,Q,-0.04807796489,-0.1940395404
300,300,0.6,N,-0.008095223157,-0.03860604727
300,300,0.6,D,-0.03289800179,-0.1568902781
300,300,0.6,Q,-0.1015495709,-0.4842890007
300,300,0.9,N,-0.008530525451,-0.0510227222
300,300,0.9,D,-0.03466701734,-0.207350134
300,300,0.9,Q,-0.1625901911,-0.9724833714
300,2000,0.3,N,-0.008077391326,-0.03820383227
300,2000,0.3,D,-0.01930268759,-0.09129638636
300,2000,0.3,Q,-0.05040094384,-0.2383825578
300,2000,0.6,N,-0.00850717083,-0.05019845904
300,2000,0.6,D,-0.02032973942,-0.1199601621
300,2000,0.6,Q,-0.1067171998,-0.629708641
300,2000,0.9,N,-0.008989222547,-0.07343565387
300,2000,0.9,D,-0.02148170709,-0.1754905052
300,2000,0.9,Q,-0.1713328704,-1.399669582
