N_B,D_B,Q,factor,derivative,improvement_rate
0.1,20,0.3,N,-2.632720187,2.632720187
0.1,20,0.3,D,-0.007504777554,0.007504777554
0.1,20,0.3,Q,-0.3600072074,0.3600072074
0.1,20,0.6,N,-2.632720187,2.632720187
0.1,20,0.6,D,-0.007504777554,0.007504777554
0.1,20,0.6,Q,-0.3618786165,0.3618786165
0.1,20,0.9,N,-2.632720187,2.632720187
0.1,20,0.9,D,-0.007504777554,0.007504777554
0.1,20,0.9,Q,-0.3665565239,0.3665565239
0.1,300,0.3,N,-2.632720187,2.632720187
0.1,300,0.3,D,-0.0002344684133,0.0002344684133
0.1,300,0.3,Q,-0.3600072074,0.3600072074
0.1,300,0.6,N,-2.632720187,2.632720187
0.1,300,0.6,D,-0.0002344684133,0.0002344684133
0.1,300,0.6,Q,-0.3618786165,0.3618786165
0.1,300,0.9,N,-2.632720187,2.632720187
0.1,300,0.9,D,-0.0002344684133,0.0002344684133
0.1,300,0.9,Q,-0.3665565239,0.3665565239
0.1,2000,0.3,N,-2.632720187,2.632720187
0.1,2000,0.3,D,-2.068147774e-05,2.068147774e-05
0.1,2000,0.3,Q,-0.3600072074,0.3600072074
0.1,2000,0.6,N,-2.632720187,2.632720187
0.1,2000,0.6,D,-2.068147774e-05,2.068147774e-05
0.1,2000,0.6,Q,-0.3618786165,0.3618786165
0.1,2000,0.9,N,-2.632720187,2.632720187
0.1,2000,0.9,D,-2.068147774e-05,2.068147774e-05
0.1,2000,0.9,Q,-0.3665565239,0.3665565239
1,20,0.3,N,-0.1203450195,0.1203450195
1,20,0.3,D,-0.007504777554,0.007504777554
1,20,0.3,Q,-0.3600072074,0.3600072074
1,20,0.6,N,-0.1203450195,0.1203450195
1,20,0.6,D,-0.007504777554,0.007504777554
1,20,0.6,Q,-0.3618786165,0.3618786165
1,20,0.9,N,-0.1203450195,0.1203450195
1,20,0.9,D,-0.007504777554,0.007504777554
1,20,0.9,Q,-0.3665565239,0.3665565239
1,300,0.3,N,-0.1203450195,0.1203450195
1,300,0.3,D,-0.0002344684133,0.0002344684133
1,300,0.3,Q,-0.3600072074,0.3600072074
1,300,0.6,N,-0.1203450195,0.1203450195
1,300,0.6,D,-0.0002344684133,0.0002344684133
1,300,0.6,Q,-0.3618786165,0.3618786165
1,300,0.9,N,-0.1203450195,0.1203450195
1,300,0.9,D,-0.0002344684133,0.0002344684133
1,300,0.9,Q,-0.3665565239,0.3665565239
1,2000,0.3,N,-0.1203450195,0.1203450195
1,2000,0.3,D,-2.068147774e-05,2.068147774e-05
1,2000,0.3,Q,-0.3600072074,0.3600072074
1,2000,0.6,N,-0.1203450195,0.1203450195
1,2000,0.6,D,-2.068147774e-05,2.068147774e-05
1,2000,0.6,Q,-0.3618786165,0.3618786165
1,2000,0.9,N,-0.1203450195,0.1203450195
1,2000,0.9,D,-2.068147774e-05,2.068147774e-05
1,2000,0.9,Q,-0.3665565239,0.3665565239
7,20,0.3,N,-0.008871897968,0.008871897968
7,20,0.3,D,-0.007504777554,0.007504777554
7,20,0.3,Q,-0.3600072074,0.3600072074
7,20,0.6,N,-0.008871897968,0.008871897968
7,20,0.6,D,-0.007504777554,0.007504777554
7,20,0.6,Q,-0.3618786165,0.3618786165
7,20,0.9,N,-0.008871897968,0.008871897968
7,20,0.9,D,-0.007504777554,0.007504777554
7,20,0.9,Q,-0.3665565239,0.3665565239
7,300,0.3,N,-0.008871897968,0.008871897968
7,300,0.3,D,-0.0002344684133,0.0002344684133
7,300,0.3,Q,-0.3600072074,0.3600072074
7,300,0.6,N,-0.008871897968,0.008871897968
7,300,0.6,D,-0.0002344684133,0.0002344684133
7,300,0.6,Q,-0.3618786165,0.3618786165
7,300,0.9,N,-0.008871897968,0.008871897968
7,300,0.9,D,-0.0002344684133,0.0002344684133
7,300,0.9,Q,-0.3665565239,0.3665565239
7,2000,0.3,N,-0.008871897968,0.008871897968
7,2000,0.3,D,-2.068147774e-05,2.068147774e-05
7,2000,0.3,Q,-0.3600072074,0.3600072074
7,2000,0.6,N,-0.008871897968,0.008871897968
7,2000,0.6,D,-2.068147774e-05,2.068147774e-05
7,2000,0.6,Q,-0.3618786165,0.3618786165
7,2000,0.9,N,-0.008871897968,0.008871897968
7,2000,0.9,D,-2.068147774e-05,2.068147774e-05
7,2000,0.9,Q,-0.3665565239,0.3665565239
70,20,0.3,N,-0.0004055458454,0.0004055458454
70,20,0.3,D,-0.007504777554,0.007504777554
70,20,0.3,Q,-0.3600072074,0.3600072074
70,20,0.6,N,-0.0004055458454,0.0004055458454
70,20,0.6,D,-0.007504777554,0.007504777554
70,20,0.6,Q,-0.3618786165,0.3618786165
70,20,0.9,N,-0.0004055458454,0.0004055458454
70,20,0.9,D,-0.007504777554,0.007504777554
70,20,0.9,Q,-0.3665565239,0.3665565239
70,300,0.3,N,-0.0004055458454,0.0004055458454
70,300,0.3,D,-0.0002344684133,0.0002344684133
70,300,0.3,Q,-0.3600072074,0.3600072074
70,300,0.6,N,-0.0004055458454,0.0004055458454
70,300,0.6,D,-0.0002344684133,0.0002344684133
70,300,0.6,Q,-0.3618786165,0.3618786165
70,300,0.9,N,-0.0004055458454,0.0004055458454
70,300,0.9,D,-0.0002344684133,0.0002344684133
70,300,0.9,Q,-0.3665565239,0.3665565239
70,2000,0.3,N,-0.0004055458454,0.0004055458454
70,2000,0.3,D,-2.068147774e-05,2.068147774e-05
70,2000,0.3,Q,-0.3600072074,0.3600072074
70,2000,0.6,N,-0.0004055458454,0.0004055458454
70,2000,0.6,D,-2.068147774e-05,2.068147774e-05
70,2000,0.6,Q,-0.3618786165,0.3618786165
70,2000,0.9,N,-0.0004055458454,0.0004055458454
70,2000,0.9,D,-2.068147774e-05,2.068147774e-05
70,2000,0.9,Q,-0.3665565239,0.3665565239
120,20,0.3,N,-0.0001969581436,0.0001969581436
120,20,0.3,D,-0.007504777554,0.007504777554
120,20,0.3,Q,-0.3600072074,0.3600072074
120,20,0.6,N,-0.0001969581436,0.0001969581436
120,20,0.6,D,-0.007504777554,0.007504777554
120,20,0.6,Q,-0.3618786165,0.3618786165
120,20,0.9,N,-0.0001969581436,0.0001969581436
120,20,0.9,D,-0.007504777554,0.007504777554
120,20,0.9,Q,-0.3665565239,0.3665565239
120,300,0.3,N,-0.0001969581436,0.0001969581436
120,300,0.3,D,-0.0002344684133,0.0002344684133
120,300,0.3,Q,-0.3600072074,0.3600072074
120,300,0.6,N,-0.0001969581436,0.0001969581436
120,300,0.6,D,-0.0002344684133,0.0002344684133
120,300,0.6,Q,-0.3618786165,0.3618786165
120,300,0.9,N,-0.0001969581436,0.0001969581436
120,300,0.9,D,-0.0002344684133,0.0002344684133
120,300,0.9,Q,-0.3665565239,0.3665565239
120,2000,0.3,N,-0.0001969581436,0.0001969581436
120,2000,0.3,D,-2.068147774e-05,2.068147774e-05
120,2000,0.3,Q,-0.3600072074,0.3600072074
120,2000,0.6,N,-0.0001969581436,0.0001969581436
120,2000,0.6,D,-2.068147774e-05,2.068147774e-05
120,2000,0.6,Q,-0.3618786165,0.3618786165
120,2000,0.9,N,-0.0001969581436,0.0001969581436
120,2000,0.9,D,-2.068147774e-05,2.068147774e-05
120,2000,0.9,Q,-0.3665565239,0.3665565239
300,20,0.3,N,-5.769572695e-05,5.769572695e-05
300,20,0.3,D,-0.007504777554,0.007504777554
300,20,0.3,Q,-0.3600072074,0.3600072074
300,20,0.6,N,-5.769572695e-05,5.769572695e-05
300,20,0.6,D,-0.007504777554,0.007504777554
300,20,0.6,Q,-0.3618786165,0.3618786165
300,20,0.9,N,-5.769572695e-05,5.769572695e-05
300,20,0.9,D,-0.007504777554,0.007504777554
300,20,0.9,Q,-0.3665565239,0.3665565239
300,300,0.3,N,-5.769572695e-05,5.769572695e-05
