source,domain,method,n,mean,median,trimmed_mean,winsor_mean,ci_low,ci_high,rank_within_source
A1,arxiv,Q_baseline,1419,0.7646787202,0.7682316583,0.7663016333,0.76577754,0.7626814732,0.7668553247,1
A1,arxiv,Q_critic,1419,0.7543568559,0.7568770956,0.7553555723,0.7549678855,0.7516838081,0.7570208959,1
A1,arxiv,Q_robust,1419,0.7723272199,0.7785718973,0.7745774129,0.7738501279,0.7695042586,0.7751566281,1
A1,arxiv,Q_penalty,1419,0.7389397774,0.7423873449,0.7404494851,0.7398621116,0.7363522176,0.7415488025,1
A1,arxiv,Q_hard,1419,0.76386108,0.7680231753,0.7657317863,0.765162155,0.7616485056,0.7665253452,1
A1,book,Q_baseline,171,0.620073029,0.6299653098,0.6204237569,0.6202481594,0.6081580801,0.6310124675,6
A1,book,Q_critic,171,0.5688435092,0.5717935834,0.5694207393,0.5686376213,0.5588005969,0.579520778,7
A1,book,Q_robust,171,0.6147319802,0.6152940174,0.6131595987,0.6147033624,0.6024569347,0.6266857537,6
A1,book,Q_penalty,171,0.5662288031,0.5731697829,0.5666800429,0.5657764524,0.5559252762,0.5770457117,6
A1,book,Q_hard,171,0.6118347591,0.6232807798,0.6142448051,0.6134900244,0.6035775001,0.6213010396,6
A1,c4,Q_baseline,10000,0.689448721,0.7020906521,0.695728237,0.6923191158,0.6877112204,0.6911162865,4
A1,c4,Q_critic,10000,0.6798549068,0.6847581908,0.6829201708,0.6815045101,0.6781416147,0.6814430127,4
A1,c4,Q_robust,10000,0.7108858916,0.7291835467,0.7211334684,0.7162505085,0.7091329851,0.7132024101,3
A1,c4,Q_penalty,10000,0.6427571638,0.6504777678,0.6469542539,0.6447253714,0.6409446067,0.6446539495,4
A1,c4,Q_hard,10000,0.6574783475,0.6697613803,0.6626927616,0.6601493655,0.6553356091,0.6599303294,4
A1,commoncrawl,Q_baseline,9640,0.7092007574,0.7194480587,0.7154667907,0.7129085024,0.7077748551,0.7105575951,2
A1,commoncrawl,Q_critic,9640,0.7195036654,0.727008483,0.7241986997,0.7225396611,0.7181121165,0.720976182,3
A1,commoncrawl,Q_robust,9640,0.7424445102,0.765597334,0.754376738,0.7484260405,0.7408456678,0.7440636915,2
A1,commoncrawl,Q_penalty,9640,0.671956215,0.6791959196,0.6772033024,0.6755357847,0.6704498288,0.6737062038,2
A1,commoncrawl,Q_hard,9640,0.6944006719,0.7110677728,0.7018379885,0.6979859403,0.6925804527,0.696322371,3
A1,github,Q_baseline,10000,0.5749706595,0.5795162537,0.5762153755,0.5745879671,0.573566727,0.5766307841,7
A1,github,Q_critic,10000,0.6202048421,0.6289476337,0.623839011,0.6217783471,0.6186860798,0.6218911491,6
A1,github,Q_robust,10000,0.5731972352,0.5814089653,0.5764539533,0.5745723525,0.5713954691,0.5749600853,7
A1,github,Q_penalty,10000,0.5382103451,0.5438741516,0.539890274,0.5379171959,0.536574995,0.5401299874,7
A1,github,Q_hard,10000,0.5736210336,0.5788327426,0.5752189511,0.5734618093,0.5718703653,0.5752032535,7
A1,stackexchange,Q_baseline,10000,0.6959010297,0.7025825688,0.699185371,0.6976164386,0.6944516448,0.6973673526,3
A1,stackexchange,Q_critic,10000,0.7220754169,0.729071593,0.7260885741,0.7243326826,0.7208746866,0.723312653,2
A1,stackexchange,Q_robust,10000,0.6996026406,0.7043677786,0.7022606796,0.7015833506,0.6981579129,0.7009584124,4
A1,stackexchange,Q_penalty,10000,0.6693702401,0.6775303037,0.6731582366,0.671070655,0.6678535295,0.6708925318,3
A1,stackexchange,Q_hard,10000,0.6955474415,0.7024751569,0.6990195825,0.6973947645,0.6943926931,0.6968622175,2
A1,wikipedia,Q_baseline,10000,0.6476952663,0.6535235209,0.6520469162,0.6505392953,0.6461583898,0.6494968424,5
A1,wikipedia,Q_critic,10000,0.6651499645,0.6761042153,0.6712619367,0.6684461874,0.6634235009,0.6667407081,5
A1,wikipedia,Q_robust,10000,0.6689209815,0.6827869625,0.6767859537,0.6733778869,0.6669070907,0.6709444679,5
A1,wikipedia,Q_penalty,10000,0.6093803596,0.6118430189,0.6121921642,0.6115031166,0.6076854994,0.6112045352,5
A1,wikipedia,Q_hard,10000,0.6461254484,0.6518781639,0.6504827632,0.6489758552,0.6444397208,0.6478168966,5
A2,arxiv,Q_baseline,17523,0.7618409102,0.7635539418,0.7632186075,0.7630558081,0.7611987964,0.7623641329,1
A2,arxiv,Q_critic,17523,0.7511669277,0.7520950731,0.7519885442,0.7521474974,0.7505507964,0.752010084,1
A2,arxiv,Q_robust,17523,0.7686384187,0.7734895424,0.7705953982,0.7699183416,0.7679261353,0.7695978312,1
A2,arxiv,Q_penalty,17523,0.735855328,0.7374078432,0.7371128323,0.7370006647,0.7352035741,0.7365430682,1
A2,arxiv,Q_hard,17523,0.7610670081,0.7631235516,0.7627653867,0.762549314,0.7604213152,0.7616305901,1
A3,github,Q_baseline,203752,0.5741167241,0.5783269599,0.5751493723,0.57391961,0.5737635327,0.5744453314,1
A3,github,Q_critic,203752,0.6190707728,0.6274091091,0.622661816,0.6205210652,0.6186763119,0.6194212656,1
A3,github,Q_robust,203752,0.5721914885,0.5795093033,0.5755419871,0.573540626,0.5717309197,0.5725514421,1
A3,github,Q_penalty,203752,0.5375025888,0.5426137184,0.538928883,0.5372517904,0.5371700521,0.5379111417,1
A3,github,Q_hard,203752,0.5728674219,0.5775290481,0.5741194796,0.5727859761,0.5725300019,0.5731921018,1
