experiment_id_B6,N_params_B,D_tokens_B,Q_score,val_loss_B6,experiment_id_B8,val_loss_B8,data_type,loss_difference_B8_minus_B6
N0.70_D0010_Q0.1,0.7,10,0.1,3.1919,N0.7_D0010_Q0.1,0.615,calibrated,-2.5769
N0.70_D0010_Q0.2,0.7,10,0.2,3.1552,N0.7_D0010_Q0.2,0.8685,calibrated,-2.2867
N0.70_D0010_Q0.3,0.7,10,0.3,3.0155,N0.7_D0010_Q0.3,1.081,calibrated,-1.9345
N0.70_D0010_Q0.4,0.7,10,0.4,3.0148,N0.7_D0010_Q0.4,1.3192,calibrated,-1.6956
N0.70_D0010_Q0.6,0.7,10,0.6,2.9615,N0.7_D0010_Q0.6,1.7963,calibrated,-1.1652
N0.70_D0010_Q0.8,0.7,10,0.8,2.8692,N0.7_D0010_Q0.8,2.222,calibrated,-0.6472
N0.70_D0010_Q0.9,0.7,10,0.9,2.7928,N0.7_D0010_Q0.9,2.5041,calibrated,-0.2887
N0.70_D0010_Q1.0,0.7,10,1,2.8304,N0.7_D0010_Q1.0,2.6504,calibrated,-0.18
N0.70_D0050_Q0.1,0.7,50,0.1,2.8444,N0.7_D0050_Q0.1,0.5587,calibrated,-2.2857
N0.70_D0050_Q0.2,0.7,50,0.2,2.8069,N0.7_D0050_Q0.2,0.7563,calibrated,-2.0506
N0.70_D0050_Q0.3,0.7,50,0.3,2.7973,N0.7_D0050_Q0.3,1.0221,calibrated,-1.7752
N0.70_D0050_Q0.4,0.7,50,0.4,2.7324,N0.7_D0050_Q0.4,1.1864,calibrated,-1.546
N0.70_D0050_Q0.6,0.7,50,0.6,2.6134,N0.7_D0050_Q0.6,1.6494,calibrated,-0.964
N0.70_D0050_Q0.8,0.7,50,0.8,2.6409,N0.7_D0050_Q0.8,2.0562,calibrated,-0.5847
N0.70_D0050_Q0.9,0.7,50,0.9,2.5496,N0.7_D0050_Q0.9,2.294,calibrated,-0.2556
N0.70_D0050_Q1.0,0.7,50,1,2.5581,N0.7_D0050_Q1.0,2.492,calibrated,-0.0661
N0.70_D0150_Q0.1,0.7,150,0.1,2.7893,N0.7_D0150_Q0.1,0.5295,calibrated,-2.2598
N0.70_D0150_Q0.2,0.7,150,0.2,2.6375,N0.7_D0150_Q0.2,0.7452,calibrated,-1.8923
N0.70_D0150_Q0.3,0.7,150,0.3,2.6856,N0.7_D0150_Q0.3,0.9382,calibrated,-1.7474
N0.70_D0150_Q0.4,0.7,150,0.4,2.5991,N0.7_D0150_Q0.4,1.1468,calibrated,-1.4523
N0.70_D0150_Q0.6,0.7,150,0.6,2.5608,N0.7_D0150_Q0.6,1.5755,calibrated,-0.9853
N0.70_D0150_Q0.8,0.7,150,0.8,2.5043,N0.7_D0150_Q0.8,2.0079,calibrated,-0.4964
N0.70_D0150_Q0.9,0.7,150,0.9,2.4035,N0.7_D0150_Q0.9,2.2463,calibrated,-0.1572
N0.70_D0150_Q1.0,0.7,150,1,2.3542,N0.7_D0150_Q1.0,2.3563,calibrated,0.0021
