source,N_B,D_B,n_Q,rho_Q_L,quality_improves_loss
B6,0.07,10,8,-0.9761904762,True
B6,0.07,50,8,-0.9761904762,True
B6,0.07,150,8,-0.9523809524,True
B6,0.07,300,8,-0.880952381,True
B6,0.07,600,8,-0.9761904762,True
B6,0.16,10,8,-0.9285714286,True
B6,0.16,50,8,-0.9523809524,True
B6,0.16,150,8,-0.9761904762,True
B6,0.16,300,8,-0.9761904762,True
B6,0.16,600,8,-1,True
B6,0.41,10,8,-0.9285714286,True
B6,0.41,50,8,-0.9761904762,True
B6,0.41,150,8,-0.9761904762,True
B6,0.41,300,8,-0.9047619048,True
B6,0.41,600,8,-0.9761904762,True
B6,0.7,10,8,-0.9761904762,True
B6,0.7,50,8,-0.9523809524,True
B6,0.7,150,8,-0.9761904762,True
B6,0.7,300,8,-0.9761904762,True
B6,0.7,600,8,-0.9523809524,True
B6,1,10,8,-0.9761904762,True
B6,1,50,8,-0.9047619048,True
B6,1,150,8,-0.9047619048,True
B6,1,300,8,-0.9523809524,True
B6,1,600,8,-0.9523809524,True
B6,2.8,10,8,-0.9761904762,True
B6,2.8,50,8,-0.7142857143,True
B6,2.8,150,8,-0.8095238095,True
B6,2.8,300,8,-0.9047619048,True
B6,2.8,600,8,-0.9761904762,True
B6,4,10,8,-0.880952381,True
B6,4,50,8,-0.8571428571,True
B6,4,150,8,-1,True
B6,4,300,8,-0.9047619048,True
B6,4,600,8,-0.5952380952,True
B6,6.9,10,8,-0.8333333333,True
B6,6.9,50,8,-0.880952381,True
B6,6.9,150,8,-0.7380952381,True
B6,6.9,300,8,-0.9047619048,True
B6,6.9,600,8,-0.8571428571,True
B6,11.97,10,8,-0.8333333333,True
B6,11.97,50,8,-0.8333333333,True
B6,11.97,150,8,-0.9047619048,True
B6,11.97,300,8,-0.9285714286,True
B6,11.97,600,8,-0.9285714286,True
B7_full,0.07,10,10,-0.9878787879,True
B7_full,0.07,50,10,-0.9515151515,True
B7_full,0.07,150,10,-0.9757575758,True
B7_full,0.07,300,10,-0.8787878788,True
B7_full,0.07,600,10,-0.9878787879,True
B7_full,0.16,10,10,-0.9272727273,True
B7_full,0.16,50,10,-0.9515151515,True
B7_full,0.16,150,10,-0.9878787879,True
B7_full,0.16,300,10,-0.9757575758,True
B7_full,0.16,600,10,-1,True
B7_full,0.41,10,10,-0.8909090909,True
B7_full,0.41,50,10,-0.9757575758,True
B7_full,0.41,150,10,-0.9757575758,True
B7_full,0.41,300,10,-0.9151515152,True
B7_full,0.41,600,10,-0.9878787879,True
B7_full,0.7,10,10,-0.9878787879,True
B7_full,0.7,50,10,-0.9515151515,True
B7_full,0.7,150,10,-0.9878787879,True
B7_full,0.7,300,10,-0.9757575758,True
B7_full,0.7,600,10,-0.9636363636,True
B7_full,1,10,10,-0.9636363636,True
B7_full,1,50,10,-0.8909090909,True
B7_full,1,150,10,-0.9151515152,True
B7_full,1,300,10,-0.9393939394,True
B7_full,1,600,10,-0.9515151515,True
B7_full,2.8,10,10,-0.9878787879,True
B7_full,2.8,50,10,-0.8060606061,True
B7_full,2.8,150,10,-0.8666666667,True
B7_full,2.8,300,10,-0.9515151515,True
B7_full,2.8,600,10,-0.9878787879,True
B7_full,4,10,10,-0.8666666667,True
B7_full,4,50,10,-0.9151515152,True
B7_full,4,150,10,-0.9878787879,True
B7_full,4,300,10,-0.9151515152,True
B7_full,4,600,10,-0.6848484848,True
B7_full,6.9,10,10,-0.8787878788,True
B7_full,6.9,50,10,-0.9393939394,True
B7_full,6.9,150,10,-0.696969697,True
B7_full,6.9,300,10,-0.9515151515,True
B7_full,6.9,600,10,-0.9151515152,True
B7_full,11.97,10,10,-0.8666666667,True
B7_full,11.97,50,10,-0.8303030303,True
B7_full,11.97,150,10,-0.8181818182,True
B7_full,11.97,300,10,-0.9151515152,True
B7_full,11.97,600,10,-0.9393939394,True
B8_new,0.07,5,12,1,False
B8_new,0.07,20,12,1,False
B8_new,0.07,100,12,1,False
B8_new,0.07,500,12,1,False
B8_new,0.07,1000,12,1,False
B8_new,0.07,2000,12,1,False
B8_new,0.16,5,12,1,False
B8_new,0.16,20,12,1,False
B8_new,0.16,100,12,1,False
B8_new,0.16,500,12,1,False
B8_new,0.16,1000,12,1,False
B8_new,0.16,2000,12,1,False
B8_new,0.41,5,12,1,False
B8_new,0.41,20,12,1,False
B8_new,0.41,100,12,1,False
B8_new,0.41,500,12,1,False
B8_new,0.41,1000,12,1,False
B8_new,0.41,2000,12,1,False
B8_new,0.7,5,12,1,False
B8_new,0.7,20,12,1,False
B8_new,0.7,100,12,1,False
B8_new,0.7,500,12,1,False
B8_new,0.7,1000,12,1,False
B8_new,0.7,2000,12,1,False
B8_new,1,5,12,1,False
B8_new,1,20,12,1,False
B8_new,1,100,12,0.9982502174,False
B8_new,1,500,12,0.9982502174,False
B8_new,1,1000,12,0.9982502174,False
B8_new,1,2000,12,0.9982502174,False
B8_new,2.8,5,12,0.9982502174,False
B8_new,2.8,20,12,0.9982502174,False
B8_new,2.8,100,12,0.9982502174,False
B8_new,2.8,500,12,0.9982502174,False
B8_new,2.8,1000,12,0.9982502174,False
B8_new,2.8,2000,12,0.9982502174,False
B8_new,4,5,12,0.9982502174,False
B8_new,4,20,12,0.9982502174,False
B8_new,4,100,12,0.9982502174,False
B8_new,4,500,12,0.9929823694,False
B8_new,4,1000,12,0.9929823694,False
B8_new,4,2000,12,0.9929823694,False
B8_new,6.9,5,12,0.9982502174,False
B8_new,6.9,20,12,0.9929823694,False
B8_new,6.9,100,12,0.9929823694,False
B8_new,6.9,500,12,0.9929823694,False
B8_new,6.9,1000,12,0.9929823694,False
B8_new,6.9,2000,12,0.9929823694,False
B8_new,12,5,12,0.9929823694,False
B8_new,12,10,12,0.9929823694,False
B8_new,12,20,12,0.9929823694,False
B8_new,12,50,12,0.9929823694,False
B8_new,12,100,12,0.9929823694,False
B8_new,12,150,12,0.9929823694,False
B8_new,12,300,12,0.9929823694,False
B8_new,12,500,12,0.9929823694,False
B8_new,12,1000,12,0.9929823694,False
B8_new,12,2000,12,0.9929823694,False
B8_new,20,5,12,0.9929823694,False
B8_new,20,10,12,0.9929823694,False
B8_new,20,20,12,0.9929823694,False
B8_new,20,50,12,0.9929823694,False
B8_new,20,100,12,0.9929823694,False
B8_new,20,150,12,0.9929823694,False
B8_new,20,300,12,0.9929823694,False
B8_new,20,500,12,0.9929823694,False
B8_new,20,1000,12,0.9929823694,False
B8_new,20,2000,12,0.9823619318,False
B8_new,40,5,12,0.9929823694,False
B8_new,40,10,12,0.9929823694,False
B8_new,40,20,12,0.9929823694,False
B8_new,40,50,12,0.9929823694,False
B8_new,40,100,12,0.9823619318,False
B8_new,40,150,12,0.9823619318,False
B8_new,40,300,12,0.9823619318,False
B8_new,40,500,12,0.9823619318,False
B8_new,40,1000,12,0.9823619318,False
B8_new,40,2000,12,0.9752433671,False
B8_new,70,5,12,0.9929823694,False
B8_new,70,10,12,0.9823619318,False
B8_new,70,20,12,0.9823619318,False
B8_new,70,50,12,0.9823619318,False
B8_new,70,100,12,0.9823619318,False
B8_new,70,150,12,0.9823619318,False
B8_new,70,300,12,0.9823619318,False
B8_new,70,500,12,0.9823619318,False
B8_new,70,1000,12,0.9823619318,False
B8_new,70,2000,12,0.9823619318,False
B8_new,120,5,12,0.9823619318,False
B8_new,120,10,12,0.9823619318,False
B8_new,120,20,12,0.9823619318,False
B8_new,120,50,12,0.9823619318,False
B8_new,120,100,12,0.9823619318,False
B8_new,120,150,12,0.9823619318,False
B8_new,120,300,12,0.9823619318,False
B8_new,120,500,12,0.9823619318,False
B8_new,120,1000,12,0.9823619318,False
B8_new,120,2000,12,0.9823619318,False
B8_new,300,5,12,0.9823619318,False
B8_new,300,10,12,0.9823619318,False
B8_new,300,20,12,0.9823619318,False
B8_new,300,50,12,0.9823619318,False
B8_new,300,100,12,0.9823619318,False
B8_new,300,150,12,0.9823619318,False
B8_new,300,300,12,0.9823619318,False
B8_new,300,500,12,0.9823619318,False
B8_new,300,1000,12,0.9823619318,False
B8_new,300,2000,12,0.9644013325,False
B8_new,700,5,12,0.9823619318,False
B8_new,700,10,12,0.9823619318,False
B8_new,700,20,12,0.9823619318,False
B8_new,700,50,12,0.9823619318,False
B8_new,700,100,12,0.9644013325,False
B8_new,700,150,12,0.9644013325,False
B8_new,700,300,12,0.9644013325,False
B8_new,700,500,12,0.9644013325,False
B8_new,700,1000,12,0.9644013325,False
B8_new,700,2000,12,0.9644013325,False
