model,N_B,D_B,Q,N_equiv_B,multiplier
additive,0.1,20,0.6,0.1151370196,1.151370196
additive,0.1,300,0.6,0.1151370196,1.151370196
additive,0.1,2000,0.6,0.1151370196,1.151370196
additive,1,20,0.6,1.373870219,1.373870219
additive,1,300,0.6,1.373870219,1.373870219
additive,1,2000,0.6,1.373870219,1.373870219
additive,7,20,0.6,13.41302837,1.91614691
additive,7,300,0.6,13.41302837,1.91614691
additive,7,2000,0.6,13.41302837,1.91614691
additive,70,20,0.6,373.260744,5.332296343
additive,70,300,0.6,373.260744,5.332296343
additive,70,2000,0.6,373.260744,5.332296343
additive,120,20,0.6,1047.079329,8.725661078
additive,120,300,0.6,1047.079329,8.725661078
additive,120,2000,0.6,1047.079329,8.725661078
effective_power,0.1,20,0.6,0.1112967023,1.112967023
effective_power,0.1,300,0.6,0.1050928007,1.050928007
effective_power,0.1,2000,0.6,0.1029536075,1.029536075
effective_power,1,20,0.6,1.270510014,1.270510014
effective_power,1,300,0.6,1.116031428,1.116031428
effective_power,1,2000,0.6,1.066153157,1.066153157
effective_power,7,20,0.6,11.34840799,1.621201141
effective_power,7,300,0.6,8.692875048,1.241839293
effective_power,7,2000,0.6,7.935415994,1.133630856
effective_power,70,20,0.6,228.7356997,3.267652853
effective_power,70,300,0.6,115.0000459,1.642857798
effective_power,70,2000,0.6,92.77540472,1.325362925
effective_power,120,20,0.6,534.0128217,4.450106847
effective_power,120,300,0.6,220.2468916,1.835390763
effective_power,120,2000,0.6,168.8884369,1.40740364
effective_exp,0.1,20,0.6,0.1190240422,1.190240422
effective_exp,0.1,300,0.6,0.1083648686,1.083648686
effective_exp,0.1,2000,0.6,0.1048093914,1.048093914
effective_exp,1,20,0.6,1.484900707,1.484900707
effective_exp,1,300,0.6,1.195641052,1.195641052
effective_exp,1,2000,0.6,1.109326386,1.109326386
effective_exp,7,20,0.6,15.91952293,2.274217561
effective_exp,7,300,0.6,10.0005584,1.4286512
effective_exp,7,2000,0.6,8.588352845,1.226907549
effective_exp,70,20,0.6,657.9677813,9.399539732
effective_exp,70,300,0.6,163.0616085,2.329451551
effective_exp,70,2000,0.6,111.710581,1.595865443
effective_exp,120,20,0.6,2430.152226,20.25126855
effective_exp,120,300,0.6,342.7726214,2.856438512
effective_exp,120,2000,0.6,212.4267435,1.770222863
saturating,0.1,20,0.6,0.1151800376,1.151800376
saturating,0.1,300,0.6,0.1151800376,1.151800376
saturating,0.1,2000,0.6,0.1151800376,1.151800376
saturating,1,20,0.6,1.375063075,1.375063075
saturating,1,300,0.6,1.375063075,1.375063075
saturating,1,2000,0.6,1.375063075,1.375063075
saturating,7,20,0.6,13.43831548,1.919759355
saturating,7,300,0.6,13.43831548,1.919759355
saturating,7,2000,0.6,13.43831548,1.919759355
saturating,70,20,0.6,375.4466292,5.363523275
saturating,70,300,0.6,375.4466292,5.363523275
saturating,70,2000,0.6,375.4466292,5.363523275
saturating,120,20,0.6,1055.801171,8.798343094
saturating,120,300,0.6,1055.801171,8.798343094
saturating,120,2000,0.6,1055.801171,8.798343094
quality_data,0.1,20,0.6,0.116302476,1.16302476
quality_data,0.1,300,0.6,0.1144189676,1.144189676
quality_data,0.1,2000,0.6,0.1132405697,1.132405697
quality_data,1,20,0.6,1.406468144,1.406468144
quality_data,1,300,0.6,1.354075468,1.354075468
quality_data,1,2000,0.6,1.322061562,1.322061562
quality_data,7,20,0.6,14.11657126,2.016653037
quality_data,7,300,0.6,12.99839512,1.856913589
quality_data,7,2000,0.6,12.34740937,1.763915624
quality_data,70,20,0.6,438.6216378,6.266023397
quality_data,70,300,0.6,339.0222228,4.843174612
quality_data,70,2000,0.6,290.9174718,4.155963883
quality_data,120,20,0.6,1320.318531,11.00265442
quality_data,120,300,0.6,914.2065145,7.618387621
quality_data,120,2000,0.6,739.3872337,6.161560281
quality_model,0.1,20,0.6,0.1196655764,1.196655764
quality_model,0.1,300,0.6,0.1196655764,1.196655764
quality_model,0.1,2000,0.6,0.1196655764,1.196655764
quality_model,1,20,0.6,1.295109595,1.295109595
quality_model,1,300,0.6,1.295109595,1.295109595
quality_model,1,2000,0.6,1.295109595,1.295109595
quality_model,7,20,0.6,9.900224654,1.414317808
quality_model,7,300,0.6,9.900224654,1.414317808
quality_model,7,2000,0.6,9.900224654,1.414317808
quality_model,70,20,0.6,112.9626594,1.613752277
quality_model,70,300,0.6,112.9626594,1.613752277
quality_model,70,2000,0.6,112.9626594,1.613752277
quality_model,120,20,0.6,200.5826952,1.67152246
quality_model,120,300,0.6,200.5826952,1.67152246
quality_model,120,2000,0.6,200.5826952,1.67152246
