model,held_N_B,n,rmse,mae,bias,relative_error,spearman
additive,0.07,40,0.126826713,0.107305695,-0.08855129542,0.03283374195,0.9270168856
additive,0.16,40,0.09068617494,0.07271912934,-0.05891816355,0.02391676,0.9615384615
additive,0.41,40,0.07004897716,0.05373066725,-0.03684112039,0.01891124415,0.9786116323
additive,0.7,40,0.04966908838,0.03891975823,-0.02412827708,0.01440679773,0.9842401501
additive,1,40,0.05130471535,0.04218362517,0.001473409743,0.01658398252,0.961163227
additive,2.8,40,0.06581152986,0.05260199286,0.03820768789,0.02174965619,0.9585365854
additive,4,40,0.0656669924,0.05086794099,0.03151322678,0.02124289763,0.9429643527
additive,6.9,40,0.0896299577,0.07591505565,0.07285110165,0.03226917243,0.9493433396
additive,11.97,40,0.09327285742,0.08264960126,0.06444535183,0.03600230272,0.9313320826
effective_power,0.07,40,0.1814514896,0.1522438651,-0.1351533616,0.04725595433,0.8679174484
effective_power,0.16,40,0.1451743395,0.1220086949,-0.1073334834,0.04111795926,0.9030018762
effective_power,0.41,40,0.1250592877,0.1029061804,-0.08609137541,0.03718448036,0.9377110694
effective_power,0.7,40,0.1040445889,0.09053157952,-0.07378231555,0.03426974169,0.9532833021
effective_power,1,40,0.1030480793,0.08539722211,-0.04935631149,0.03282197069,0.9570356473
effective_power,2.8,40,0.09471927688,0.0727329233,-0.0135357302,0.0293591006,0.909380863
effective_power,4,40,0.09582065723,0.06806458652,-0.01984962364,0.02742339601,0.939587242
effective_power,6.9,40,0.1025551636,0.06918420165,0.01967983978,0.02842755979,0.9450281426
effective_power,11.97,40,0.09437671752,0.05952912521,0.01088773466,0.02448577457,0.9703564728
effective_exp,0.07,40,0.1622462728,0.1312143279,-0.1134918726,0.04090815684,0.8636022514
effective_exp,0.16,40,0.1256596692,0.1019195952,-0.08509179198,0.03459341719,0.9039399625
effective_exp,0.41,40,0.1048161202,0.08418165548,-0.06345983605,0.03047696244,0.9382739212
effective_exp,0.7,40,0.08345825091,0.06964972811,-0.05077430657,0.02654704767,0.965478424
effective_exp,1,40,0.09562099074,0.0769582154,-0.02549270374,0.0293584406,0.9579737336
effective_exp,2.8,40,0.08327521264,0.0668196774,0.01041559889,0.02678925266,0.9277673546
effective_exp,4,40,0.08293638651,0.05962589184,0.004058281949,0.02365628745,0.9606003752
effective_exp,6.9,40,0.1008805349,0.06477053809,0.04432726462,0.02617588796,0.9667917448
effective_exp,11.97,40,0.09298090785,0.06365703951,0.03552194819,0.02621368573,0.9630393996
saturating,0.07,40,0.1268310965,0.1073687753,-0.08873682454,0.03285556418,0.9270168856
saturating,0.16,40,0.09063480881,0.07278378015,-0.05936079926,0.02394233476,0.9617260788
saturating,0.41,40,0.07003047026,0.05368772815,-0.03715840046,0.01889898924,0.9786116323
saturating,0.7,40,0.04960294917,0.03881296426,-0.02397221752,0.01436485464,0.9842401501
saturating,1,40,0.05123460662,0.04218117724,0.001066756258,0.01658218289,0.961163227
saturating,2.8,40,0.06582277953,0.05258254356,0.03806327002,0.02174049048,0.9585365854
saturating,4,40,0.06561754311,0.05086177362,0.03166557594,0.02124383504,0.9429643527
saturating,6.9,40,0.08956260955,0.07557585414,0.07236938285,0.03211458376,0.9493433396
saturating,11.97,40,0.09322440623,0.08257654112,0.06400991194,0.0359532318,0.9313320826
quality_data,0.07,40,0.126355976,0.1075360558,-0.08859546214,0.03305649858,0.9178236398
quality_data,0.16,40,0.08932267258,0.07299627104,-0.05894311711,0.02418522784,0.9529080675
quality_data,0.41,40,0.06792170857,0.05261137283,-0.03687114688,0.01862797714,0.9767354597
quality_data,0.7,40,0.04605244106,0.03673986929,-0.02414188549,0.01377427085,0.9848030019
quality_data,1,40,0.05328084565,0.04368008611,0.001446235208,0.01706330072,0.9651031895
quality_data,2.8,40,0.06496351153,0.05001192068,0.03819426672,0.02067038493,0.9615384615
quality_data,4,40,0.06425656149,0.05120784093,0.03151167565,0.02120427653,0.9469043152
quality_data,6.9,40,0.09019636318,0.07588150278,0.07284533734,0.03195584831,0.9549718574
quality_data,11.97,40,0.0919792644,0.08170173845,0.06437924208,0.03535857154,0.9315196998
quality_model,0.07,40,0.06597731717,0.05129105711,0.01660946708,0.01631983609,0.9600375235
quality_model,0.16,40,0.05321400078,0.03794013496,0.003016630742,0.01276371567,0.9724202627
quality_model,0.41,40,0.05655559073,0.04681199543,-0.01097726517,0.01679912626,0.9772983114
quality_model,0.7,40,0.0460706374,0.03538163623,-0.01601010855,0.01317991753,0.9857410882
quality_model,1,40,0.05103137171,0.04189295775,-0.00139996252,0.0164593186,0.961163227
quality_model,2.8,40,0.05198308063,0.04060081863,0.006828421997,0.01666370166,0.9615384615
quality_model,4,40,0.04971069708,0.04080521263,-0.009032463543,0.01682351571,0.9527204503
quality_model,6.9,40,0.04345922897,0.03261570389,0.02133511893,0.01405706349,0.9641651032
quality_model,11.97,40,0.04989265931,0.04063640695,-0.0002129596877,0.01757620824,0.9587242026
