model,source,n,rmse,mae,bias,relative_error,spearman
additive,B7_new,90,0.05951528346,0.04464556585,5.808963166e-05,0.01711122139,0.988825735
additive,B8_new,1480,1.392571108,1.15412697,1.151705384,1.641463953,-0.07339072376
effective_power,B7_new,90,0.1055695372,0.08932095984,-0.08429769916,0.03347136317,0.9832777021
effective_power,B8_new,1480,1.402067672,1.130087341,1.127665755,1.632361725,-0.02809112839
effective_exp,B7_new,90,0.07960151438,0.06397588338,-0.03460571645,0.02422094742,0.9767583519
effective_exp,B8_new,1480,1.384888372,1.133127504,1.130705918,1.613379545,0.01022485173
saturating,B7_new,90,0.05952130001,0.04457562906,-0.0006946712447,0.01706479295,0.988858661
saturating,B8_new,1480,1.39259836,1.153905015,1.151483429,1.641499357,-0.07450722426
quality_data,B7_new,90,0.05890040951,0.04532557729,-2.101228024e-05,0.01736037002,0.9876239356
quality_data,B8_new,1480,1.393509922,1.153554782,1.151133196,1.640174827,-0.06332765587
quality_model,B7_new,90,0.042127056,0.03239502919,0.0001013071096,0.01246103117,0.9908177587
quality_model,B8_new,1480,1.341755475,1.109764974,1.107343387,1.56394982,0.07862288803
