cost_model,Q0,L_ctx,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
exponential,0.6,4096,1e+18,0.0922468727279,1.58969906923,0.6,3.78676232975,1e+18,8.79868606288e+17,0,1.20131393712e+17,0.879868606288,0,0.120131393712,1,3.35287353437e-13,False,not_applicable,False,False,False,False,True,False
exponential,0.6,4096,1.25892541179e+18,0.102712597611,1.79739222722,0.6,3.71774982358,1.25892541179e+18,1.1076889475e+18,0,1.51236464298e+17,0.879868606288,0,0.120131393712,1,4.81392703477e-13,False,not_applicable,False,False,False,False,True,False
exponential,0.6,4096,1.58489319246e+18,0.114372780885,2.03209445694,0.6,3.65106819339,1.58489319246e+18,1.39449776437e+18,0,1.90395428095e+17,0.879868606288,0,0.120131393712,1,2.30926389122e-14,False,not_applicable,False,False,False,False,True,False
exponential,0.6,4096,1.99526231497e+18,0.127364649801,2.2972997544,0.6,3.58663759058,1.99526231497e+18,1.75556867225e+18,0,2.39693642718e+17,0.879868606288,0,0.120131393712,1,3.5527136788e-15,False,not_applicable,False,False,False,False,True,False
exponential,0.6,4096,2.51188643151e+18,0.141841368693,2.59695042193,0.6,3.5243809213,2.51188643151e+18,2.21013001365e+18,0,3.01756417863e+17,0.879868606288,0,0.120131393712,1,2.43360886998e-13,False,not_applicable,False,False,False,False,True,False
exponential,0.6,4096,3.16227766017e+18,0.157973810717,2.9354958953,0.6,3.46422375108,3.16227766017e+18,2.78238883755e+18,0,3.7988882262e+17,0.879868606288,0,0.120131393712,1,1.25677246388e-13,False,not_applicable,False,False,False,False,True,False
exponential,0.6,4096,3.98107170553e+18,0.179170402877,3.19499481342,0.610686482915,3.40599563665,3.98107170553e+18,3.43469104747e+18,7.74308403863e+16,4.68949817681e+17,0.862755383856,0.0194497477347,0.117794868409,1,2.62012633812e-14,False,not_applicable,False,False,False,False,False,False
exponential,0.6,4096,5.01187233627e+18,0.208764311221,3.27944221173,0.64192036671,3.34842104478,5.01187233627e+18,4.10778296712e+18,3.43240068038e+17,5.60849301111e+17,0.819610455237,0.0684853972743,0.111904147488,1,4.08562073062e-14,False,not_applicable,False,False,False,False,False,False
exponential,0.6,4096,6.3095734448e+18,0.240283362175,3.44399685076,0.67074061635,3.29146205789,6.3095734448e+18,4.96521085573e+18,6.66445800231e+17,6.77916788836e+17,0.786932888439,0.105624541193,0.107442570368,1,9.94759830064e-14,False,not_applicable,False,False,False,False,False,False
exponential,0.6,4096,7.94328234724e+18,0.274330367676,3.6713460555,0.697986971321,3.23540279309,7.94328234724e+18,6.04297027963e+18,1.0752451921e+18,8.25066875512e+17,0.760764884774,0.135365349625,0.103869765601,1,8.43769498715e-15,False,not_applicable,False,False,False,False,False,False
