lambda_p,budget,strategy,N_B,D_B,Q_B,loss,delta_p,outside_support
0.5,1e+19,P0_reference,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,False
0.5,1e+19,P1_observed_support,0.311384923873,3.95550272052,0.724121163537,2.93177177479,-0.248651597147,False
0.5,1e+19,P1_loose_simplex,0.311384923873,3.95550272052,0.724121163537,2.73390597487,-0.446517397067,False
0.5,1e+22,P0_reference,5.43315455833,245.591189004,1,2.15470427308,0,False
0.5,1e+22,P1_observed_support,5.43315455833,245.591189004,1,1.90605267593,-0.248651597147,False
0.5,1e+22,P1_loose_simplex,5.43315455833,245.591189004,1,1.70818687601,-0.446517397067,False
0.5,1e+24,P0_reference,39.56184334,3656.99670841,1,1.91599639637,0,False
0.5,1e+24,P1_observed_support,39.56184334,3656.99670841,1,1.66734479922,-0.248651597147,False
0.5,1e+24,P1_loose_simplex,39.56184334,3656.99670841,1,1.4694789993,-0.446517397067,False
0.75,1e+19,P0_reference,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,False
0.75,1e+19,P1_observed_support,0.311384923873,3.95550272052,0.724121163537,2.80744597622,-0.37297739572,False
0.75,1e+19,P1_loose_simplex,0.311384923873,3.95550272052,0.724121163537,2.51064727634,-0.669776095601,False
0.75,1e+22,P0_reference,5.43315455833,245.591189004,1,2.15470427308,0,False
0.75,1e+22,P1_observed_support,5.43315455833,245.591189004,1,1.78172687736,-0.37297739572,False
0.75,1e+22,P1_loose_simplex,5.43315455833,245.591189004,1,1.48492817748,-0.669776095601,False
0.75,1e+24,P0_reference,39.56184334,3656.99670841,1,1.91599639637,0,False
0.75,1e+24,P1_observed_support,39.56184334,3656.99670841,1,1.54301900065,-0.37297739572,False
0.75,1e+24,P1_loose_simplex,39.56184334,3656.99670841,1,1.24622030077,-0.669776095601,False
1,1e+19,P0_reference,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,False
1,1e+19,P1_observed_support,0.311384923873,3.95550272052,0.724121163537,2.68312017765,-0.497303194293,False
1,1e+19,P1_loose_simplex,0.311384923873,3.95550272052,0.724121163537,2.2873885778,-0.893034794135,False
1,1e+22,P0_reference,5.43315455833,245.591189004,1,2.15470427308,0,False
1,1e+22,P1_observed_support,5.43315455833,245.591189004,1,1.65740107878,-0.497303194293,False
1,1e+22,P1_loose_simplex,5.43315455833,245.591189004,1,1.26166947894,-0.893034794135,False
1,1e+24,P0_reference,39.56184334,3656.99670841,1,1.91599639637,0,False
1,1e+24,P1_observed_support,39.56184334,3656.99670841,1,1.41869320208,-0.497303194293,False
1,1e+24,P1_loose_simplex,39.56184334,3656.99670841,1,1.02296160224,-0.893034794135,False
1.25,1e+19,P0_reference,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,False
1.25,1e+19,P1_observed_support,0.311384923873,3.95550272052,0.724121163537,2.55879437907,-0.621628992866,False
1.25,1e+19,P1_loose_simplex,0.311384923873,3.95550272052,0.724121163537,2.06412987927,-1.11629349267,False
1.25,1e+22,P0_reference,5.43315455833,245.591189004,1,2.15470427308,0,False
1.25,1e+22,P1_observed_support,5.43315455833,245.591189004,1,1.53307528021,-0.621628992866,False
1.25,1e+22,P1_loose_simplex,5.43315455833,245.591189004,1,1.03841078041,-1.11629349267,False
1.25,1e+24,P0_reference,39.56184334,3656.99670841,1,1.91599639637,0,False
1.25,1e+24,P1_observed_support,39.56184334,3656.99670841,1,1.2943674035,-0.621628992866,False
1.25,1e+24,P1_loose_simplex,39.56184334,3656.99670841,1,0.799702903703,-1.11629349267,False
1.5,1e+19,P0_reference,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,False
1.5,1e+19,P1_observed_support,0.311384923873,3.95550272052,0.724121163537,2.4344685805,-0.74595479144,False
1.5,1e+19,P1_loose_simplex,0.311384923873,3.95550272052,0.724121163537,1.84087118074,-1.3395521912,False
1.5,1e+22,P0_reference,5.43315455833,245.591189004,1,2.15470427308,0,False
1.5,1e+22,P1_observed_support,5.43315455833,245.591189004,1,1.40874948164,-0.74595479144,False
1.5,1e+22,P1_loose_simplex,5.43315455833,245.591189004,1,0.815152081874,-1.3395521912,False
1.5,1e+24,P0_reference,39.56184334,3656.99670841,1,1.91599639637,0,False
1.5,1e+24,P1_observed_support,39.56184334,3656.99670841,1,1.17004160493,-0.74595479144,False
1.5,1e+24,P1_loose_simplex,39.56184334,3656.99670841,1,0.576444205169,-1.3395521912,False
