budget,variable,n,median,p05,p25,p75,p95
1e+19,N_B,200,0.311568926362,0.307917585376,0.309746272903,0.314842401337,0.329118395405
1e+19,D_B,200,3.95113357278,3.65731085735,3.89246100751,3.98064020778,4.01541212975
1e+19,Q_B,200,0.724700002674,0.720332860079,0.72264084982,0.727965440826,0.741321276918
1e+19,loss,200,3.18101896064,3.17542949419,3.17869095655,3.18338644036,3.18928470665
1e+20,N_B,200,0.955558052112,0.932937479235,0.945091409258,0.966419495639,1.00253498243
1e+20,D_B,200,10.6945606758,9.51946489201,10.4165375473,10.9508781229,11.2635377794
1e+20,Q_B,200,0.961611166873,0.943538084632,0.953316074438,0.970433441368,1
1e+20,loss,200,2.70259797193,2.70075880374,2.70189187886,2.70316536749,2.70360998628
1e+22,N_B,200,5.4332000339,5.43063915039,5.43199557746,5.43405260689,5.43524006678
1e+22,D_B,200,245.589318614,245.50544194,245.5542578,245.638867173,245.694691451
1e+22,Q_B,200,1,1,1,1,1
1e+22,loss,200,2.1547054266,2.15469316421,2.15469962513,2.15471013931,2.15471738129
1e+24,N_B,200,39.563247114,39.5156498436,39.5443967145,39.5747436208,39.5911771411
1e+24,D_B,200,3656.86869254,3654.32349768,3655.82061441,3658.58848862,3661.21429479
1e+24,Q_B,200,1,1,1,1,1
1e+24,loss,200,1.91600031314,1.91596828959,1.91598486451,1.9160147336,1.91605128423
