lambda_p,budget,strategy,support_class,N_B,D_B,Q_B,loss,improvement,p_optimum_tied
0,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,True
0,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,True
0,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,True
0,1e+19,P3_loose_simplex,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,True
0,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,0,True
0,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,True
0,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,True
0,1e+22,P3_loose_simplex,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,True
0,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,0,True
0,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,True
0,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,True
0,1e+24,P3_loose_simplex,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,True
0.25,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
0.25,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,3.05609757337,0.124325798573,False
0.25,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,3.0415263937,0.138896978239,False
0.25,1e+19,P3_loose_simplex,in-support,0.311384923873,3.95550272052,0.724121163537,2.95716467341,0.223258698534,False
0.25,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
0.25,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,2.03037847451,0.124325798573,False
0.25,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,2.01580729484,0.138896978239,False
0.25,1e+22,P3_loose_simplex,in-support,5.43315455833,245.591189004,1,1.93144557455,0.223258698534,False
0.25,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
0.25,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.7916705978,0.124325798573,False
0.25,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.77709941813,0.138896978239,False
0.25,1e+24,P3_loose_simplex,in-support,39.56184334,3656.99670841,1,1.69273769784,0.223258698534,False
0.5,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
0.5,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.93177177479,0.248651597147,False
0.5,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.90262941546,0.277793956479,False
0.5,1e+19,P3_loose_simplex,in-support,0.311384923873,3.95550272052,0.724121163537,2.73390597487,0.446517397067,False
0.5,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
0.5,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,1.90605267593,0.248651597147,False
0.5,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,1.8769103166,0.277793956479,False
0.5,1e+22,P3_loose_simplex,in-support,5.43315455833,245.591189004,1,1.70818687601,0.446517397067,False
0.5,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
0.5,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.66734479922,0.248651597147,False
