scenario,N_B,lambda_p,strategy,delta_loss,improvement,identified,evidence_note
S0_constant,1,1,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,1,1,P1_observed_support,-0.497303194293,0.497303194293,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,1,1,P2_continuous_support,-0.555587912958,0.555587912958,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,1,1,P3_loose_simplex,-0.893034794135,0.893034794135,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,7,1,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,7,1,P1_observed_support,-0.497303194293,0.497303194293,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,7,1,P2_continuous_support,-0.555587912958,0.555587912958,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,7,1,P3_loose_simplex,-0.893034794135,0.893034794135,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,40,1,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,40,1,P1_observed_support,-0.497303194293,0.497303194293,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,40,1,P2_continuous_support,-0.555587912958,0.555587912958,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,40,1,P3_loose_simplex,-0.893034794135,0.893034794135,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,100,1,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,100,1,P1_observed_support,-0.497303194293,0.497303194293,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,100,1,P2_continuous_support,-0.555587912958,0.555587912958,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,100,1,P3_loose_simplex,-0.893034794135,0.893034794135,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,1,0.501187233627,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,1,0.501187233627,P1_observed_support,-0.249242012222,0.249242012222,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,1,0.501187233627,P2_continuous_support,-0.278453569132,0.278453569132,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,1,0.501187233627,P3_loose_simplex,-0.447577638005,0.447577638005,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,7,0.41256292359,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,7,0.41256292359,P1_observed_support,-0.205168859748,0.205168859748,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,7,0.41256292359,P2_continuous_support,-0.229214973681,0.229214973681,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,7,0.41256292359,P3_loose_simplex,-0.368433045536,0.368433045536,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,40,0.346572421578,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,40,0.346572421578,P1_observed_support,-0.172351572304,0.172351572304,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,40,0.346572421578,P2_continuous_support,-0.192551448393,0.192551448393,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,40,0.346572421578,P3_loose_simplex,-0.309501231156,0.309501231156,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,100,0.316227766017,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,100,0.316227766017,P1_observed_support,-0.157261078164,0.157261078164,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,100,0.316227766017,P2_continuous_support,-0.175692324541,0.175692324541,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,100,0.316227766017,P3_loose_simplex,-0.282402397925,0.282402397925,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,1,0.251188643151,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,1,0.251188643151,P1_observed_support,-0.124916914609,0.124916914609,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,1,0.251188643151,P2_continuous_support,-0.139557374007,0.139557374007,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,1,0.251188643151,P3_loose_simplex,-0.224320198225,0.224320198225,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,7,0.170208165921,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,7,0.170208165921,P1_observed_support,-0.0846450646075,0.0846450646075,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,7,0.170208165921,P2_continuous_support,-0.0945655996726,0.0945655996726,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,7,0.170208165921,P3_loose_simplex,-0.152001814414,0.152001814414,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,40,0.120112443398,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,40,0.120112443398,P1_observed_support,-0.0597323017762,0.0597323017762,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,40,0.120112443398,P2_continuous_support,-0.0667330217478,0.0667330217478,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,40,0.120112443398,P3_loose_simplex,-0.107264591163,0.107264591163,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,100,0.1,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,100,0.1,P1_observed_support,-0.0497303194293,0.0497303194293,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,100,0.1,P2_continuous_support,-0.0555587912958,0.0555587912958,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,100,0.1,P3_loose_simplex,-0.0893034794135,0.0893034794135,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,1,0.354813389234,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,1,0.354813389234,P1_observed_support,-0.176449831844,0.176449831844,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,1,0.354813389234,P2_continuous_support,-0.197130030414,0.197130030414,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,1,0.354813389234,P3_loose_simplex,-0.316860702011,0.316860702011,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
