cost_model,Q0,L_ctx,transition,epsilon_Q,status,C_threshold,C_lower,C_upper,log10_width
exponential,0.6,2048,start,0.0001,crossing,3.90205453655e+18,3.90204082684e+18,3.90205453655e+18,1.52587890767e-06
exponential,0.6,2048,saturation,0.0001,crossing,1.44282873396e+20,1.44282366464e+20,1.44282873396e+20,1.52587890767e-06
exponential,0.6,4096,start,0.0001,crossing,3.70242289572e+18,3.7024098874e+18,3.70242289572e+18,1.52587890412e-06
exponential,0.6,4096,saturation,0.0001,crossing,1.37699638557e+20,1.37699154755e+20,1.37699638557e+20,1.52587890767e-06
exponential,0.6,32768,start,0.0001,crossing,2.20501351087e+18,2.20500576365e+18,2.20501351087e+18,1.52587890767e-06
exponential,0.6,32768,saturation,0.0001,crossing,8.66923252817e+19,8.66920206917e+19,8.66923252817e+19,1.52587890767e-06
power,0.6,2048,start,0.0001,crossing,1.3605780169e+19,1.36057323656e+19,1.3605780169e+19,1.52587890767e-06
power,0.6,2048,saturation,0.0001,crossing,7.54665004798e+19,7.54662353313e+19,7.54665004798e+19,1.52587890767e-06
power,0.6,4096,start,0.0001,crossing,1.29121945508e+19,1.29121491843e+19,1.29121945508e+19,1.52587890767e-06
power,0.6,4096,saturation,0.0001,crossing,7.21495526339e+19,7.21492991394e+19,7.21495526339e+19,1.52587890767e-06
power,0.6,32768,start,0.0001,crossing,7.70415219246e+18,7.70412512423e+18,7.70415219246e+18,1.52587890767e-06
power,0.6,32768,saturation,0.0001,crossing,4.62060444436e+19,4.62058821005e+19,4.62060444436e+19,1.52587890412e-06
logarithmic,0.6,2048,start,0.0001,crossing,2.102594055e+18,2.10258666762e+18,2.102594055e+18,1.52587890767e-06
logarithmic,0.6,2048,saturation,0.0001,crossing,2.102594055e+18,2.10258666762e+18,2.102594055e+18,1.52587890767e-06
logarithmic,0.6,4096,start,0.0001,crossing,2.00357274261e+18,2.00356570314e+18,2.00357274261e+18,1.52587890412e-06
logarithmic,0.6,4096,saturation,0.0001,crossing,2.00357274261e+18,2.00356570314e+18,2.00357274261e+18,1.52587890412e-06
logarithmic,0.6,32768,start,0.0001,crossing,1.24334244359e+18,1.24333807516e+18,1.24334244359e+18,1.52587890767e-06
logarithmic,0.6,32768,saturation,0.0001,crossing,1.24334244359e+18,1.24333807516e+18,1.24334244359e+18,1.52587890767e-06
