Model,context,n_layers,n_heads,d_model,ability,model_type
01-ai/Yi-34B,4096,48,56,7168,22.373127018936653,pretrained
01-ai/Yi-6B,4096,32,32,4096,13.611617485376058,pretrained
EleutherAI/pythia-1.4b,2048,24,16,2048,6.008531439497028,pretrained
EleutherAI/pythia-12b,2048,36,40,4096,6.059841492942702,pretrained
EleutherAI/pythia-160m,2048,12,12,768,5.730394616916022,pretrained
EleutherAI/pythia-1b,2048,16,8,2048,5.07026822083096,pretrained
EleutherAI/pythia-2.8b,2048,32,32,2560,5.554946281603011,pretrained
EleutherAI/pythia-410m,2048,24,16,1024,5.227072311484412,pretrained
EleutherAI/pythia-6.9b,2048,32,32,4096,5.966546774741993,pretrained
Qwen/Qwen2-0.5B,32768,24,14,896,7.224121473565234,pretrained
Qwen/Qwen2-1.5B,32768,28,16,1536,10.445452935561454,pretrained
Qwen/Qwen2-7B,32768,32,28,3584,23.9251621404824,pretrained
Qwen/Qwen2.5-0.5B,32768,24,14,896,6.550067614297009,pretrained
Qwen/Qwen2.5-1.5B,32768,28,16,1536,13.852701161320264,pretrained
Qwen/Qwen2.5-14B,32768,40,40,5120,31.95106269314897,pretrained
Qwen/Qwen2.5-32B,32768,64,40,5120,38.00796730514634,pretrained
Qwen/Qwen2.5-72B,32768,80,64,8192,38.441143572535815,pretrained
Qwen/Qwen2.5-7B,32768,28,28,3584,26.019159924095096,pretrained
braindao/Qwen2.5-14B,32768,40,40,5120,32.436238941896505,pretrained
deepseek-ai/deepseek-llm-7b-base,4096,30,30,4096,8.227098434870664,pretrained
google/gemma-2-27b,8192,46,32,4608,23.926167340782822,pretrained
google/gemma-2-2b,8192,26,8,2304,10.129463155055184,pretrained
google/gemma-2-2b,8192,26,8,2304,10.359615568466916,pretrained
google/gemma-2-9b,8192,42,16,3584,21.205286776100692,pretrained
google/gemma-7b,8192,28,16,3072,15.442818570272303,pretrained
meta-llama/Llama-2-13b-hf,4096,40,40,5120,11.065185981273993,pretrained
meta-llama/Llama-2-70b-hf,4096,80,64,8192,18.372598605703004,pretrained
meta-llama/Llama-2-7b-hf,4096,32,32,4096,8.806357596540016,pretrained
meta-llama/Llama-3.1-8B,131072,32,32,4096,14.42086519266696,chat_finetuned
meta-llama/Meta-Llama-3-70B,8192,80,64,8192,26.705350171613343,pretrained
meta-llama/Meta-Llama-3-8B,8192,32,32,4096,13.626857071686075,pretrained
microsoft/Phi-3-medium-4k-instruct,4096,40,40,5120,33.09765943937642,chat_finetuned
microsoft/Phi-3-mini-4k-instruct,4096,32,32,3072,25.967732638041607,chat_finetuned
microsoft/Phi-3-mini-4k-instruct,4096,32,32,3072,27.562174043592282,chat_finetuned
microsoft/Phi-3-small-8k-instruct,8192,32,32,4096,32.34201367038736,chat_finetuned
microsoft/phi-2,2048,32,32,2560,15.534291558214901,pretrained
mistralai/Mistral-7B-v0.1,32768,32,32,4096,14.575358924083135,pretrained
mistralai/Mixtral-8x7B-v0.1,32768,32,32,4096,19.565281012799836,pretrained
mistralai/Mixtral-8x7B-v0.1,32768,32,32,4096,19.665108918316083,chat_finetuned
tiiuae/falcon-40b,2048,60,232,8192,11.40130446230009,pretrained
tiiuae/falcon-7b,2048,32,71,4544,5.1734447203194796,pretrained
unsloth/Phi-3-mini-4k-instruct,4096,32,32,3072,27.342019856110284,other
