subset,window_quarters,end_quarter,included_quarters,n,p90_ability,p95_ability,top3_ability,eligible_n5,eligible_n10,W1_cutoff
open_w1,1,2024Q2,2024Q2,22,32.003295825697364,33.01831747225294,33.58669576607503,True,True,2025-01-31
open_w1,1,2024Q3,2024Q3,16,36.78866062796827,38.11626137199371,37.339488276157454,True,True,2025-01-31
open_w1,1,2024Q4,2024Q4,5,31.50548360062398,32.38392346908129,26.04053216657181,True,False,2025-01-31
open_w1,1,2025Q1,2025Q1,2,30.08623735677516,30.222182584060665,28.998675538491128,False,False,2025-01-31
open_w1,2,2024Q3,2024Q2|2024Q3,38,33.77833756615978,35.935145953943625,37.339488276157454,True,True,2025-01-31
open_w1,2,2024Q4,2024Q3|2024Q4,21,35.56935395079021,38.00796730514634,37.339488276157454,True,True,2025-01-31
open_w1,2,2025Q1,2024Q4|2025Q1,7,31.519822021823142,32.39109267968087,30.830218381378938,True,False,2025-01-31
open_w1,3,2024Q4,2024Q2|2024Q3|2024Q4,43,33.22170103757875,35.5580856489586,37.339488276157454,True,True,2025-01-31
open_w1,3,2025Q1,2024Q3|2024Q4|2025Q1,23,35.107955828139886,37.76410596971072,37.339488276157454,True,True,2025-01-31
c2_inherited_aligned,1,2024Q2,2024Q2,71,29.25746822860332,31.480415201344506,37.46957568896942,True,True,2025-01-31
c2_inherited_aligned,1,2024Q3,2024Q3,82,35.532429421705984,38.420134244023664,44.0263010089645,True,True,2025-01-31
c2_inherited_aligned,1,2024Q4,2024Q4,84,41.16534748433419,42.18943387429477,47.65853461142634,True,True,2025-01-31
c2_inherited_aligned,1,2025Q1,2025Q1,94,39.98094603659342,40.39625853835983,41.243246404233965,True,True,2025-01-31
c2_inherited_aligned,2,2024Q3,2024Q2|2024Q3,153,33.10489608296549,37.33056575526412,44.7878360044866,True,True,2025-01-31
c2_inherited_aligned,2,2024Q4,2024Q3|2024Q4,166,39.72905512306491,41.52702369129026,47.65853461142634,True,True,2025-01-31
c2_inherited_aligned,2,2025Q1,2024Q4|2025Q1,178,40.03137769269783,41.245459422128754,47.65853461142634,True,True,2025-01-31
c2_inherited_aligned,3,2024Q4,2024Q2|2024Q3|2024Q4,237,38.331994352316016,41.24176690811548,47.65853461142634,True,True,2025-01-31
c2_inherited_aligned,3,2025Q1,2024Q3|2024Q4|2025Q1,260,39.86024345383493,41.21724195937631,47.65853461142634,True,True,2025-01-31
