dataset,evidence_status,family,n_mixtures,rmse,mae,bias,spearman_mean,mixture_mean_spearman
train_nested_oof,train_only_nested,v2_champion,512,0.3340097260320915,0.22438318061913748,-0.00020456527896504275,0.9243789617066024,0.6314280278321374
train_nested_oof,train_only_nested,alr_elasticnet,512,0.3183773206035827,0.2138105619815508,0.0005950435850091174,0.9294882523748781,0.6462172483148511
train_nested_oof,train_only_nested,ilr_ridge,512,0.3510292549281615,0.23699361981695108,-0.0030351891419013923,0.9143958242000327,0.6178162121914375
train_nested_oof,train_only_nested,alr_pls,512,0.5421072260627241,0.41159761595556493,-0.000997683004780129,0.6576793064941947,0.3962592697497167
train_nested_oof,train_only_nested,clr_spline,512,0.25221883135504797,0.17067573999842944,0.0019130535892679058,0.9590381724089816,0.9191464677675925
test_1m,retrospective_observed,v2_champion,256,0.2701792457048059,0.18895674382142044,0.04636179268008989,0.9452244396711093,0.7152845330739298
test_1m,retrospective_observed,alr_elasticnet,256,0.2543455703215431,0.17884490687534724,0.04361165240589988,0.9493518583728011,0.7305633440146485
test_1m,retrospective_observed,ilr_ridge,256,0.2822043105788778,0.1968301296515907,0.0379767814034467,0.9389587588252899,0.7052493419546806
test_1m,retrospective_observed,alr_pls,256,0.48068556550380376,0.3717203843881759,0.05286209636287113,0.6915738287233478,0.48462319752803834
test_1m,retrospective_observed,clr_spline,256,0.20817256438217724,0.14672020583755047,0.011795994031651956,0.9645873681708539,0.9288774605172807
test_60m,retrospective_observed,v2_champion,256,1.595903245636194,1.5086601993763016,1.50573258136836,0.9408450270260752,0.6822950045777064
test_60m,retrospective_observed,alr_elasticnet,256,1.5924237703692474,1.5058666194392136,1.5029824410941697,0.9447463114248991,0.6891258010986494
test_60m,retrospective_observed,ilr_ridge,256,1.5945702353883313,1.5022349942259738,1.4973475700917167,0.9348564844974205,0.6792365243762873
test_60m,retrospective_observed,alr_pls,256,1.6282257700456748,1.5157144902716477,1.512232885051141,0.6905045050794936,0.3706547550926985
test_60m,retrospective_observed,clr_spline,256,1.5614059700293537,1.4728440418144413,1.471166782719922,0.9605314761343026,0.8932142652780954
test_1B,retrospective_observed,v2_champion,64,2.702111047518439,2.620239559032141,2.618575902709615,0.8766659622428852,0.5666666666666665
test_1B,retrospective_observed,alr_elasticnet,64,2.6887053228972597,2.6132509383961615,2.6128643639280003,0.8907720484643561,0.6577380952380951
test_1B,retrospective_observed,ilr_ridge,64,2.6567619067352815,2.5788567412463603,2.57628297081663,0.8502430262045646,0.4990842490842491
test_1B,retrospective_observed,alr_pls,64,3.156230330567312,3.0457844890579824,3.043550389069805,0.6355311355311355,0.5288003663003662
test_1B,retrospective_observed,clr_spline,64,2.7357058924478177,2.6575223605700535,2.657467193261929,0.8768843336151028,0.6630036630036629
est_10b,estimated_label,v2_champion,63,3.621215241918493,3.558920289376837,3.558920289376837,0.6327508658580455,-0.6062307987711214
est_10b,estimated_label,alr_elasticnet,63,3.6261349935414366,3.5635618541770113,3.5635618541770113,0.6353467302607326,-0.5965341781874041
est_10b,estimated_label,ilr_ridge,63,3.6219590136660407,3.5541795235758067,3.5541795235758067,0.6058912025796268,-0.6101670506912442
est_10b,estimated_label,alr_pls,63,3.6380719148181413,3.589313036610091,3.589313036610091,0.6102259713122232,-0.47167818740399386
est_10b,estimated_label,clr_spline,63,3.639506102613519,3.5664662564717777,3.5664662564717777,0.5330609588385629,-0.728878648233487
est_70b,estimated_label,v2_champion,63,4.008987833388895,3.9418333540899013,3.9418333540899013,0.553628829142216,-0.6796274961597543
est_70b,estimated_label,alr_elasticnet,63,4.013870460854715,3.946474918890076,3.946474918890076,0.5567342650408198,-0.6692108294930876
est_70b,estimated_label,ilr_ridge,63,4.009588298106558,3.9370925882888717,3.9370925882888717,0.5243726736672613,-0.6839477726574502
est_70b,estimated_label,alr_pls,63,4.02443904690687,3.9722261013231557,3.9722261013231557,0.5591544777307743,-0.5329781105990783
est_70b,estimated_label,clr_spline,63,4.026818912221916,3.9493793211848427,3.9493793211848427,0.4445155880195243,-0.799347158218126
