outer_fold,family,spec,inner_rmse,fold_rmse_sd,selected
1,alr_elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.2}",0.40725533786287665,0.015501560887479615,False
1,alr_elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.7}",0.39974466108746093,0.015199509960211608,False
1,alr_elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",0.3535589649080023,0.014008428501544913,False
1,alr_elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.7}",0.3381110185910897,0.01373474971861222,True
1,alr_elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.2}",0.3875866482383965,0.023890597940683208,False
1,alr_elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.7}",0.40929310718426665,0.023916749175251363,False
1,ilr_ridge,"{""alpha"": 1.0, ""eps_mult"": 0.25}",0.41724628075612424,0.017632226888138453,False
1,ilr_ridge,"{""alpha"": 10.0, ""eps_mult"": 0.25}",0.3822941108492197,0.015191216660501066,False
1,ilr_ridge,"{""alpha"": 100.0, ""eps_mult"": 0.25}",0.41563285608729156,0.02307772921265473,False
1,ilr_ridge,"{""alpha"": 1.0, ""eps_mult"": 0.5}",0.41177115238817025,0.02672731253561575,False
1,ilr_ridge,"{""alpha"": 10.0, ""eps_mult"": 0.5}",0.38014639618398505,0.019125429080745455,True
1,ilr_ridge,"{""alpha"": 100.0, ""eps_mult"": 0.5}",0.41679583899059625,0.021989773218268716,False
1,alr_pls,"{""n_components"": 2}",0.7979338968115112,0.025880074649135974,False
1,alr_pls,"{""n_components"": 4}",0.7487709156934428,0.03413198531567458,False
1,alr_pls,"{""n_components"": 8}",0.6516056107257984,0.03761856747735951,False
1,alr_pls,"{""n_components"": 12}",0.563401326301271,0.026419400610521643,True
1,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.2600701418568949,0.0025118276337623277,False
1,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.2616681223052721,0.007076704174190344,False
1,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.28709614980802245,0.008117211702442288,False
1,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.2712936080070438,0.006251644703290325,False
1,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.25822058629385625,0.004339367539601118,True
1,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.2738358584878541,0.008216536066811926,False
1,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.2684655524336487,0.0035500013392395975,False
1,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.27032361929554943,0.008140350143895168,False
1,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.29488212285041315,0.007525144266059981,False
1,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.2827479044156724,0.005553742245637994,False
1,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.2680708365269124,0.006966879943166179,False
1,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.281336577945919,0.007946940720680841,False
2,alr_elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.2}",0.3667482367694068,0.008280909396664933,False
2,alr_elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.7}",0.35846049308984085,0.008280332493720573,False
2,alr_elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",0.3225943460749522,0.012614723745013144,False
2,alr_elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.7}",0.3057616993635196,0.009782999525012489,True
2,alr_elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.2}",0.3509427451291738,0.008101820271949063,False
2,alr_elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.7}",0.37055981389000875,0.00516210548042421,False
2,ilr_ridge,"{""alpha"": 1.0, ""eps_mult"": 0.25}",0.37652366557464856,0.007176109424248062,False
2,ilr_ridge,"{""alpha"": 10.0, ""eps_mult"": 0.25}",0.36131630728753666,0.008638481315459709,True
2,ilr_ridge,"{""alpha"": 100.0, ""eps_mult"": 0.25}",0.3982022139187012,0.003919081199549693,False
2,ilr_ridge,"{""alpha"": 1.0, ""eps_mult"": 0.5}",0.37560642264049016,0.008876891363938868,False
2,ilr_ridge,"{""alpha"": 10.0, ""eps_mult"": 0.5}",0.3624960218539111,0.006781371158669173,False
2,ilr_ridge,"{""alpha"": 100.0, ""eps_mult"": 0.5}",0.3985664025930816,0.0016803325037002376,False
2,alr_pls,"{""n_components"": 2}",0.7728261575686496,0.0029134126539884743,False
2,alr_pls,"{""n_components"": 4}",0.7148865323790446,0.017817834502320117,False
2,alr_pls,"{""n_components"": 8}",0.6081318506552192,0.006282418593811928,False
2,alr_pls,"{""n_components"": 12}",0.5167292849335156,0.006702099059454744,True
2,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.25488341071923987,0.0062784757413955495,True
2,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.257795214719099,0.008722480398525119,False
2,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.279716393196104,0.009033312491111667,False
2,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.26881642560834496,0.010822758714520203,False
2,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.2578310857782472,0.005593414249582677,False
2,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.2686907529447836,0.0075278098334675275,False
2,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.26310030548675845,0.0050390419003013545,False
2,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.2663387706910776,0.007653654914128081,False
2,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.28776772492180225,0.007911411066850569,False
2,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.27855875453813217,0.008806700648080484,False
2,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.2672006211872106,0.005868176943438441,False
2,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.27641562307492334,0.007243570442255514,False
3,alr_elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.2}",0.41318548826955886,0.04908786627663878,False
3,alr_elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.7}",0.40574165959633984,0.04714475679101552,False
3,alr_elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",0.3581994393828907,0.020825882547581748,False
3,alr_elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.7}",0.3416224891685974,0.014590871168262921,True
3,alr_elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.2}",0.3857203536287109,0.014711242748385936,False
3,alr_elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.7}",0.402146786992371,0.020101715312186,False
3,ilr_ridge,"{""alpha"": 1.0, ""eps_mult"": 0.25}",0.4238631726470811,0.05162575564044382,False
3,ilr_ridge,"{""alpha"": 10.0, ""eps_mult"": 0.25}",0.3917707078302631,0.030812857438616625,True
3,ilr_ridge,"{""alpha"": 100.0, ""eps_mult"": 0.25}",0.42097619890888915,0.0027294006089774747,False
3,ilr_ridge,"{""alpha"": 1.0, ""eps_mult"": 0.5}",0.4261156249926135,0.051325546659766255,False
3,ilr_ridge,"{""alpha"": 10.0, ""eps_mult"": 0.5}",0.3963021705312733,0.029655833724966392,False
3,ilr_ridge,"{""alpha"": 100.0, ""eps_mult"": 0.5}",0.42344273773718527,0.003652984027461628,False
3,alr_pls,"{""n_components"": 2}",0.7978400702998656,0.02642692590293797,False
3,alr_pls,"{""n_components"": 4}",0.7515302914858266,0.04273464121100395,False
3,alr_pls,"{""n_components"": 8}",0.6466594590987087,0.0376255395398277,False
3,alr_pls,"{""n_components"": 12}",0.5667330773798476,0.02859996474020217,True
3,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.2705485662876811,0.016860207971885102,False
3,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.27333882732765297,0.016837320214838872,False
3,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.29573860328531143,0.018325257583191097,False
3,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.27305619155112515,0.015091252757640613,False
3,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.26625330664966806,0.014675403864072517,True
3,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.2829308051181135,0.01655023208847999,False
3,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.2782477787121936,0.015117564180077602,False
3,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.2816299855702586,0.016323469123289136,False
3,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.30383351206054454,0.019286257278111583,False
3,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.28119450685088315,0.01471950959119185,False
3,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.2742918915277429,0.014544085408042954,False
3,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.2902014737401041,0.017475906680352295,False
4,alr_elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.2}",0.3574271297977132,0.01611127137569375,False
4,alr_elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.7}",0.3504981111686938,0.015862989365312538,False
4,alr_elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",0.3259397423800486,0.016293805986917927,False
4,alr_elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.7}",0.3119551251122122,0.013084487277241638,True
4,alr_elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.2}",0.36826261609147415,0.015872802074455256,False
4,alr_elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.7}",0.39123517927950074,0.008582660151279835,False
4,ilr_ridge,"{""alpha"": 1.0, ""eps_mult"": 0.25}",0.36515851861987053,0.01599631967882787,False
4,ilr_ridge,"{""alpha"": 10.0, ""eps_mult"": 0.25}",0.3570462632937632,0.020107340130828988,True
4,ilr_ridge,"{""alpha"": 100.0, ""eps_mult"": 0.25}",0.40408241523418087,0.027935657031929916,False
4,ilr_ridge,"{""alpha"": 1.0, ""eps_mult"": 0.5}",0.370595163078764,0.01787739587331409,False
4,ilr_ridge,"{""alpha"": 10.0, ""eps_mult"": 0.5}",0.3620472335256921,0.021563085009145014,False
4,ilr_ridge,"{""alpha"": 100.0, ""eps_mult"": 0.5}",0.4067447011094926,0.025595479725682484,False
4,alr_pls,"{""n_components"": 2}",0.7813095264343589,0.01333660562247236,False
4,alr_pls,"{""n_components"": 4}",0.743630666410719,0.018064309123044357,False
4,alr_pls,"{""n_components"": 8}",0.6441444969863829,0.037674920982271376,False
4,alr_pls,"{""n_components"": 12}",0.5488714938481746,0.025287892946965974,True
4,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.2624722913865162,0.01716529772670544,False
4,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.264502076404019,0.01669610399412563,False
4,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""n_knots"": 4}",0.28703283886862124,0.017436314211202487,False
4,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.27148225812713295,0.016124714608835956,False
4,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.2619174554005844,0.015581991054856406,True
4,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""n_knots"": 6}",0.27603545393030915,0.01626837427557537,False
4,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.2707445844274324,0.018439106154989542,False
4,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.27365163749889954,0.017130792987624738,False
4,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""n_knots"": 4}",0.29609619632344464,0.016948245932366945,False
4,clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.28197539129936694,0.016288310925474732,False
4,clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.27161153124900234,0.01626875688353421,False
4,clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""n_knots"": 6}",0.28388140811274964,0.016316860066133157,False
5,alr_elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.2}",0.4014011440701048,0.004468792404067386,False
5,alr_elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.7}",0.3937048511167322,0.004795565728716829,False
5,alr_elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",0.3522813744534399,0.009195099148377453,False
5,alr_elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.7}",0.3379405624728862,0.010400883494430472,True
5,alr_elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.2}",0.381589656766564,0.013249746696814026,False
5,alr_elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.7}",0.3998491124537235,0.0211261691607216,False
5,ilr_ridge,"{""alpha"": 1.0, ""eps_mult"": 0.25}",0.4120210858093906,0.005020879124904174,False
5,ilr_ridge,"{""alpha"": 10.0, ""eps_mult"": 0.25}",0.38590929413407793,0.012044442812886687,False
