outer_fold,family,n,rmse,selected_spec
1,v2_champion,103,0.30442838910402215,"{""alpha"": 10.0, ""ref"": 11}"
1,alr_elasticnet,103,0.2844573456214684,"{""alpha"": 0.01, ""l1_ratio"": 0.7}"
1,ilr_ridge,103,0.33519005753876546,"{""alpha"": 10.0, ""eps_mult"": 0.5}"
1,alr_pls,103,0.5172436588754903,"{""n_components"": 12}"
1,clr_spline,103,0.2645017709211735,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}"
2,v2_champion,103,0.37958295219114246,"{""alpha"": 10.0, ""ref"": 3}"
2,alr_elasticnet,103,0.3673701020928778,"{""alpha"": 0.01, ""l1_ratio"": 0.7}"
2,ilr_ridge,103,0.37920147008946314,"{""alpha"": 10.0, ""eps_mult"": 0.25}"
2,alr_pls,103,0.5829127929054371,"{""n_components"": 12}"
2,clr_spline,103,0.27006277255945793,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""n_knots"": 4}"
3,v2_champion,102,0.31078860756798704,"{""alpha"": 10.0, ""ref"": 11}"
3,alr_elasticnet,102,0.28985598259440737,"{""alpha"": 0.01, ""l1_ratio"": 0.7}"
3,ilr_ridge,102,0.3398009227656647,"{""alpha"": 10.0, ""eps_mult"": 0.25}"
3,alr_pls,102,0.5092428444750967,"{""n_components"": 12}"
3,clr_spline,102,0.23447238341377805,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}"
4,v2_champion,102,0.35935955637424244,"{""alpha"": 10.0, ""ref"": 11}"
4,alr_elasticnet,102,0.35017995786730716,"{""alpha"": 0.01, ""l1_ratio"": 0.7}"
4,ilr_ridge,102,0.3762489431859199,"{""alpha"": 10.0, ""eps_mult"": 0.25}"
4,alr_pls,102,0.5689124746681444,"{""n_components"": 12}"
4,clr_spline,102,0.2550276369439903,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}"
5,v2_champion,102,0.30852892767171786,"{""alpha"": 10.0, ""ref"": 11}"
5,alr_elasticnet,102,0.2901248304130421,"{""alpha"": 0.01, ""l1_ratio"": 0.7}"
5,ilr_ridge,102,0.3206844198668391,"{""alpha"": 10.0, ""eps_mult"": 0.5}"
5,alr_pls,102,0.5281016719717665,"{""n_components"": 12}"
5,clr_spline,102,0.23453490158635545,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}"
