N_B,scenario,lambda_p,identified,note
0.07,constant,1,False,"no independent joint N,D,Q,p loss labels"
0.07,power_decay_rho_0.1,1.25892541179,False,"no independent joint N,D,Q,p loss labels"
0.07,saturating_floor_0.5_rho_0.1,1.1294627059,False,"no independent joint N,D,Q,p loss labels"
0.07,partial_identification_low,0.5,False,"no independent joint N,D,Q,p loss labels"
0.07,partial_identification_high,1.5,False,"no independent joint N,D,Q,p loss labels"
0.7,constant,1,False,"no independent joint N,D,Q,p loss labels"
0.7,power_decay_rho_0.1,1,False,"no independent joint N,D,Q,p loss labels"
0.7,saturating_floor_0.5_rho_0.1,1,False,"no independent joint N,D,Q,p loss labels"
0.7,partial_identification_low,0.5,False,"no independent joint N,D,Q,p loss labels"
0.7,partial_identification_high,1.5,False,"no independent joint N,D,Q,p loss labels"
7,constant,1,False,"no independent joint N,D,Q,p loss labels"
7,power_decay_rho_0.1,0.794328234724,False,"no independent joint N,D,Q,p loss labels"
7,saturating_floor_0.5_rho_0.1,0.897164117362,False,"no independent joint N,D,Q,p loss labels"
7,partial_identification_low,0.5,False,"no independent joint N,D,Q,p loss labels"
7,partial_identification_high,1.5,False,"no independent joint N,D,Q,p loss labels"
70,constant,1,False,"no independent joint N,D,Q,p loss labels"
70,power_decay_rho_0.1,0.63095734448,False,"no independent joint N,D,Q,p loss labels"
70,saturating_floor_0.5_rho_0.1,0.81547867224,False,"no independent joint N,D,Q,p loss labels"
70,partial_identification_low,0.5,False,"no independent joint N,D,Q,p loss labels"
70,partial_identification_high,1.5,False,"no independent joint N,D,Q,p loss labels"
120,constant,1,False,"no independent joint N,D,Q,p loss labels"
120,power_decay_rho_0.1,0.597849237111,False,"no independent joint N,D,Q,p loss labels"
120,saturating_floor_0.5_rho_0.1,0.798924618555,False,"no independent joint N,D,Q,p loss labels"
120,partial_identification_low,0.5,False,"no independent joint N,D,Q,p loss labels"
120,partial_identification_high,1.5,False,"no independent joint N,D,Q,p loss labels"
