source,N_params_B,D_tokens_B,q_levels,rho_Q_L
B6,0.07,10,8,-0.97619047619
B6,0.07,50,8,-0.97619047619
B6,0.07,150,8,-0.952380952381
B6,0.07,300,8,-0.880952380952
B6,0.07,600,8,-0.97619047619
B6,0.16,10,8,-0.928571428571
B6,0.16,50,8,-0.952380952381
B6,0.16,150,8,-0.97619047619
B6,0.16,300,8,-0.97619047619
B6,0.16,600,8,-1
B6,0.41,10,8,-0.928571428571
B6,0.41,50,8,-0.97619047619
B6,0.41,150,8,-0.97619047619
B6,0.41,300,8,-0.904761904762
B6,0.41,600,8,-0.97619047619
B6,0.7,10,8,-0.97619047619
B6,0.7,50,8,-0.952380952381
B6,0.7,150,8,-0.97619047619
B6,0.7,300,8,-0.97619047619
B6,0.7,600,8,-0.952380952381
B6,1,10,8,-0.97619047619
B6,1,50,8,-0.904761904762
B6,1,150,8,-0.904761904762
B6,1,300,8,-0.952380952381
B6,1,600,8,-0.952380952381
B6,2.8,10,8,-0.97619047619
B6,2.8,50,8,-0.714285714286
B6,2.8,150,8,-0.809523809524
B6,2.8,300,8,-0.904761904762
B6,2.8,600,8,-0.97619047619
B6,4,10,8,-0.880952380952
B6,4,50,8,-0.857142857143
B6,4,150,8,-1
B6,4,300,8,-0.904761904762
B6,4,600,8,-0.595238095238
B6,6.9,10,8,-0.833333333333
B6,6.9,50,8,-0.880952380952
B6,6.9,150,8,-0.738095238095
B6,6.9,300,8,-0.904761904762
B6,6.9,600,8,-0.857142857143
B6,11.97,10,8,-0.833333333333
B6,11.97,50,8,-0.833333333333
B6,11.97,150,8,-0.904761904762
B6,11.97,300,8,-0.928571428571
B6,11.97,600,8,-0.928571428571
B7_full,0.07,10,10,-0.987878787879
B7_full,0.07,50,10,-0.951515151515
B7_full,0.07,150,10,-0.975757575758
B7_full,0.07,300,10,-0.878787878788
B7_full,0.07,600,10,-0.987878787879
B7_full,0.16,10,10,-0.927272727273
B7_full,0.16,50,10,-0.951515151515
B7_full,0.16,150,10,-0.987878787879
B7_full,0.16,300,10,-0.975757575758
B7_full,0.16,600,10,-1
B7_full,0.41,10,10,-0.890909090909
B7_full,0.41,50,10,-0.975757575758
B7_full,0.41,150,10,-0.975757575758
B7_full,0.41,300,10,-0.915151515152
B7_full,0.41,600,10,-0.987878787879
B7_full,0.7,10,10,-0.987878787879
B7_full,0.7,50,10,-0.951515151515
B7_full,0.7,150,10,-0.987878787879
B7_full,0.7,300,10,-0.975757575758
B7_full,0.7,600,10,-0.963636363636
B7_full,1,10,10,-0.963636363636
B7_full,1,50,10,-0.890909090909
B7_full,1,150,10,-0.915151515152
B7_full,1,300,10,-0.939393939394
B7_full,1,600,10,-0.951515151515
B7_full,2.8,10,10,-0.987878787879
B7_full,2.8,50,10,-0.806060606061
B7_full,2.8,150,10,-0.866666666667
B7_full,2.8,300,10,-0.951515151515
B7_full,2.8,600,10,-0.987878787879
B7_full,4,10,10,-0.866666666667
B7_full,4,50,10,-0.915151515152
B7_full,4,150,10,-0.987878787879
B7_full,4,300,10,-0.915151515152
B7_full,4,600,10,-0.684848484848
B7_full,6.9,10,10,-0.878787878788
B7_full,6.9,50,10,-0.939393939394
B7_full,6.9,150,10,-0.69696969697
B7_full,6.9,300,10,-0.951515151515
B7_full,6.9,600,10,-0.915151515152
B7_full,11.97,10,10,-0.866666666667
B7_full,11.97,50,10,-0.830303030303
B7_full,11.97,150,10,-0.818181818182
B7_full,11.97,300,10,-0.915151515152
B7_full,11.97,600,10,-0.939393939394
B8_new,0.07,5,12,1
B8_new,0.07,20,12,1
B8_new,0.07,100,12,1
B8_new,0.07,500,12,1
B8_new,0.07,1000,12,1
B8_new,0.07,2000,12,1
B8_new,0.16,5,12,1
B8_new,0.16,20,12,1
B8_new,0.16,100,12,1
B8_new,0.16,500,12,1
B8_new,0.16,1000,12,1
B8_new,0.16,2000,12,1
B8_new,0.41,5,12,1
B8_new,0.41,20,12,1
B8_new,0.41,100,12,1
B8_new,0.41,500,12,1
B8_new,0.41,1000,12,1
B8_new,0.41,2000,12,1
B8_new,0.7,5,12,1
B8_new,0.7,20,12,1
B8_new,0.7,100,12,1
B8_new,0.7,500,12,1
B8_new,0.7,1000,12,1
B8_new,0.7,2000,12,1
B8_new,1,5,12,1
B8_new,1,20,12,1
B8_new,1,100,12,0.998250217382
B8_new,1,500,12,0.998250217382
B8_new,1,1000,12,0.998250217382
B8_new,1,2000,12,0.998250217382
B8_new,2.8,5,12,0.998250217382
B8_new,2.8,20,12,0.998250217382
B8_new,2.8,100,12,0.998250217382
B8_new,2.8,500,12,0.998250217382
B8_new,2.8,1000,12,0.998250217382
B8_new,2.8,2000,12,0.998250217382
B8_new,4,5,12,0.998250217382
B8_new,4,20,12,0.998250217382
B8_new,4,100,12,0.998250217382
B8_new,4,500,12,0.992982369438
B8_new,4,1000,12,0.992982369438
B8_new,4,2000,12,0.992982369438
B8_new,6.9,5,12,0.998250217382
B8_new,6.9,20,12,0.992982369438
B8_new,6.9,100,12,0.992982369438
B8_new,6.9,500,12,0.992982369438
B8_new,6.9,1000,12,0.992982369438
B8_new,6.9,2000,12,0.992982369438
B8_new,12,5,12,0.992982369438
B8_new,12,10,12,0.992982369438
B8_new,12,20,12,0.992982369438
B8_new,12,50,12,0.992982369438
B8_new,12,100,12,0.992982369438
B8_new,12,150,12,0.992982369438
B8_new,12,300,12,0.992982369438
B8_new,12,500,12,0.992982369438
B8_new,12,1000,12,0.992982369438
B8_new,12,2000,12,0.992982369438
B8_new,20,5,12,0.992982369438
B8_new,20,10,12,0.992982369438
B8_new,20,20,12,0.992982369438
B8_new,20,50,12,0.992982369438
B8_new,20,100,12,0.992982369438
B8_new,20,150,12,0.992982369438
B8_new,20,300,12,0.992982369438
B8_new,20,500,12,0.992982369438
B8_new,20,1000,12,0.992982369438
B8_new,20,2000,12,0.982361931792
B8_new,40,5,12,0.992982369438
B8_new,40,10,12,0.992982369438
B8_new,40,20,12,0.992982369438
B8_new,40,50,12,0.992982369438
B8_new,40,100,12,0.982361931792
B8_new,40,150,12,0.982361931792
B8_new,40,300,12,0.982361931792
B8_new,40,500,12,0.982361931792
B8_new,40,1000,12,0.982361931792
B8_new,40,2000,12,0.975243367069
B8_new,70,5,12,0.992982369438
B8_new,70,10,12,0.982361931792
B8_new,70,20,12,0.982361931792
B8_new,70,50,12,0.982361931792
B8_new,70,100,12,0.982361931792
B8_new,70,150,12,0.982361931792
B8_new,70,300,12,0.982361931792
B8_new,70,500,12,0.982361931792
B8_new,70,1000,12,0.982361931792
B8_new,70,2000,12,0.982361931792
B8_new,120,5,12,0.982361931792
B8_new,120,10,12,0.982361931792
B8_new,120,20,12,0.982361931792
B8_new,120,50,12,0.982361931792
B8_new,120,100,12,0.982361931792
B8_new,120,150,12,0.982361931792
B8_new,120,300,12,0.982361931792
B8_new,120,500,12,0.982361931792
B8_new,120,1000,12,0.982361931792
B8_new,120,2000,12,0.982361931792
B8_new,300,5,12,0.982361931792
B8_new,300,10,12,0.982361931792
B8_new,300,20,12,0.982361931792
B8_new,300,50,12,0.982361931792
B8_new,300,100,12,0.982361931792
B8_new,300,150,12,0.982361931792
B8_new,300,300,12,0.982361931792
B8_new,300,500,12,0.982361931792
B8_new,300,1000,12,0.982361931792
B8_new,300,2000,12,0.96440133247
B8_new,700,5,12,0.982361931792
B8_new,700,10,12,0.982361931792
B8_new,700,20,12,0.982361931792
B8_new,700,50,12,0.982361931792
B8_new,700,100,12,0.96440133247
B8_new,700,150,12,0.96440133247
B8_new,700,300,12,0.96440133247
B8_new,700,500,12,0.96440133247
B8_new,700,1000,12,0.96440133247
B8_new,700,2000,12,0.96440133247
