model,source,n,rmse,mae,bias,spearman
additive,B7_new,90,0.059515283678,0.0446455520951,5.79416194856e-05,0.988825734979
additive,B8_new_diagnostic,1480,1.39257111357,1.15412692671,1.15170534047,-0.0733907237583
effective_tokens,B7_new,90,0.105569533426,0.0893209559835,-0.0842976941839,0.983277702102
effective_tokens,B8_new_diagnostic,1480,1.40206769475,1.13008735535,1.12766576911,-0.028091128389
Q_by_N,B7_new,90,0.042127055973,0.0323950295143,0.000101313789888,0.990817758652
Q_by_N,B8_new_diagnostic,1480,1.34175547803,1.10976497796,1.10734339171,0.078622888027
Q_by_D,B7_new,90,0.0589004094943,0.0453255772887,-2.10091673467e-05,0.987623935572
Q_by_D,B8_new_diagnostic,1480,1.39350992156,1.15355478328,1.15113319704,-0.0633276558659
Q_by_ND,B7_new,90,0.0411674971554,0.0321777300364,6.34533969978e-05,0.991813770489
Q_by_ND,B8_new_diagnostic,1480,1.342263421,1.10925257311,1.10683098687,0.083194851089
