budget,cap,N_B,D_B,Q_B,nominal_loss,nominal_budget_ratio,raw_common_feasible_fraction,raw_worst_cost_ratio,N_over_B1_max,D_over_B1_max,N_cap_active,D_cap_active,raw_free_kkt_rel_error,raw_free_kkt_complementarity_ok
1e+19,1x,0.311384953048,3.95550230576,0.72412117784,3.18042337194,1,0,2.34564148792,0.0260228570156,0.0131897120165,False,False,,
1e+19,2x,0.311384953048,3.95550230576,0.72412117784,3.18042337194,1,0,2.34564148792,0.0260228570156,0.0131897120165,False,False,,
1e+19,3x,0.311384953048,3.95550230576,0.72412117784,3.18042337194,1,0,2.34564148792,0.0260228570156,0.0131897120165,False,False,,
1e+19,5x,0.311384953048,3.95550230576,0.72412117784,3.18042337194,1,0,2.34564148792,0.0260228570156,0.0131897120165,False,False,,
1e+19,free,0.311384953048,3.95550230576,0.72412117784,3.18042337194,1,0,2.34564148792,0.0260228570156,0.0131897120165,False,False,7.34144592983e-08,True
1e+22,1x,5.43315411419,245.591207271,1,2.15470427308,1,0.5,1.79766976336,0.454055956375,0.818929442406,False,False,,
1e+22,2x,5.43315429324,245.591199907,1,2.15470427308,1,0.5,1.79766976466,0.454055971338,0.81892941785,False,False,,
1e+22,3x,5.43315464592,245.591185401,1,2.15470427308,1,0.5,1.79766976721,0.454056000812,0.818929369479,False,False,,
1e+22,5x,5.43315442278,245.591194579,1,2.15470427308,1,0.5,1.7976697656,0.454055982164,0.818929400083,False,False,,
1e+22,free,5.43315415601,245.591205551,1,2.15470427308,1,0.5,1.79766976366,0.45405595987,0.81892943667,False,False,1.72190229062e-08,True
1e+24,1x,11.965825,299.893,1,2.09337947149,0.0255705744036,1,0.0465452471547,1,1,True,True,,
1e+24,2x,23.93165,599.786,1,2.01709612352,0.100082099277,1,0.183186856907,2,2,True,True,,
1e+24,3x,35.897475,899.679,1,1.97939925133,0.223534574622,1,0.409924829256,3,3,True,True,,
1e+24,5x,59.829125,1499.465,1,1.93807287406,0.617262376721,0.5,1.13368986175,5,5,True,True,,
1e+24,free,39.5618368537,3656.99729994,1,1.91599639637,1,0.5,1.8344795781,3.30623562134,12.1943403145,False,False,3.45889409251e-08,True
