kind,fold,n_test,rmse,mae,test_families,disjoint,loss_outside_train_n,N_outside_train_n
original_logistic,0,20,16.56516967569879,14.227394408579775,qwen,True,4,2
original_logistic,1,14,9.532710974454112,8.441975067890166,mistral|phiminik|pythia|qwena|yik,True,0,2
original_logistic,2,14,7.265334625689166,6.096100423679964,gemmajpnit|llama|mixtralxv|phi|phismallk|yi,True,0,0
original_logistic,3,14,9.18365389227938,7.440799103929218,bloom|deepseekllm|gemmait|gptneox|metallama|opt,True,0,0
original_logistic,4,13,12.015249904043404,9.228562668461619,falcon|gemma|llamahf|mistralv|phimediumk,True,2,0
monotone_kink,0,20,16.473091700254354,14.928394189730884,qwen,True,4,2
monotone_kink,1,14,10.64067349198031,8.918113081080966,mistral|phiminik|pythia|qwena|yik,True,0,2
monotone_kink,2,14,7.035978764136795,6.123994488450487,gemmajpnit|llama|mixtralxv|phi|phismallk|yi,True,0,0
monotone_kink,3,14,8.818601545053498,6.946168776913036,bloom|deepseekllm|gemmait|gptneox|metallama|opt,True,0,0
monotone_kink,4,13,11.557179924982448,8.956052148973784,falcon|gemma|llamahf|mistralv|phimediumk,True,2,0
loss_plus_scale,0,20,14.762068879166751,12.665954525181352,qwen,True,4,2
loss_plus_scale,1,14,7.606342577826708,6.060714739994526,mistral|phiminik|pythia|qwena|yik,True,0,2
loss_plus_scale,2,14,5.947479084585882,4.547899785407707,gemmajpnit|llama|mixtralxv|phi|phismallk|yi,True,0,0
loss_plus_scale,3,14,8.596081690807484,7.234282817782029,bloom|deepseekllm|gemmait|gptneox|metallama|opt,True,0,0
loss_plus_scale,4,13,11.318233780371857,9.44796871953463,falcon|gemma|llamahf|mistralv|phimediumk,True,2,0
fixed_loss_plus_scale,0,20,16.114170339339406,14.44271845368866,qwen,True,4,2
fixed_loss_plus_scale,1,14,7.710140265379067,6.45574081501285,mistral|phiminik|pythia|qwena|yik,True,0,2
fixed_loss_plus_scale,2,14,6.873129787181665,5.591775816006878,gemmajpnit|llama|mixtralxv|phi|phismallk|yi,True,0,0
fixed_loss_plus_scale,3,14,9.280671866809827,7.22233128693834,bloom|deepseekllm|gemmait|gptneox|metallama|opt,True,0,0
fixed_loss_plus_scale,4,13,12.884994917860007,10.080809901444557,falcon|gemma|llamahf|mistralv|phimediumk,True,2,0
scale_only_diagnostic,0,20,14.46915018208471,12.164533988198526,qwen,True,4,2
scale_only_diagnostic,1,14,7.606278891940484,6.060512854318732,mistral|phiminik|pythia|qwena|yik,True,0,2
scale_only_diagnostic,2,14,5.947433736805523,4.547682212532425,gemmajpnit|llama|mixtralxv|phi|phismallk|yi,True,0,0
scale_only_diagnostic,3,14,8.59622308556654,7.234518176048076,bloom|deepseekllm|gemmait|gptneox|metallama|opt,True,0,0
scale_only_diagnostic,4,13,11.318294112010179,9.447952209002178,falcon|gemma|llamahf|mistralv|phimediumk,True,2,0
gompertz,0,20,16.58425083545032,14.644208597532065,qwen,True,4,2
gompertz,1,14,9.542107406637374,8.4036911055053,mistral|phiminik|pythia|qwena|yik,True,0,2
gompertz,2,14,7.170794873705039,6.0807159713164864,gemmajpnit|llama|mixtralxv|phi|phismallk|yi,True,0,0
gompertz,3,14,9.112871144905299,7.234315857735533,bloom|deepseekllm|gemmait|gptneox|metallama|opt,True,0,0
gompertz,4,13,11.53376890036502,8.96309904370792,falcon|gemma|llamahf|mistralv|phimediumk,True,2,0
