subset,window_quarters,end_quarter,included_quarters,metric,n,value,n_min_1,n_min_3,n_min_5,n_min_10
strict_W1,1,2024Q2,2024Q2,p90,22,32.003295825697364,True,True,True,True
strict_W1,1,2024Q2,2024Q2,p95,22,33.01831747225294,True,True,True,True
strict_W1,1,2024Q2,2024Q2,top3,22,33.58669576607503,True,True,True,True
strict_W1,1,2024Q3,2024Q3,p90,16,36.78866062796827,True,True,True,True
strict_W1,1,2024Q3,2024Q3,p95,16,38.11626137199371,True,True,True,True
strict_W1,1,2024Q3,2024Q3,top3,16,37.339488276157454,True,True,True,True
strict_W1,1,2024Q4,2024Q4,p90,5,31.505483600623982,True,True,True,False
strict_W1,1,2024Q4,2024Q4,p95,5,32.38392346908129,True,True,True,False
strict_W1,1,2024Q4,2024Q4,top3,5,26.04053216657182,True,True,True,False
strict_W1,1,2025Q1,2025Q1,p90,2,30.08623735677516,True,False,False,False
strict_W1,1,2025Q1,2025Q1,p95,2,30.222182584060665,True,False,False,False
strict_W1,1,2025Q1,2025Q1,top3,2,28.998675538491128,True,False,False,False
strict_W1,2,2024Q3,2024Q2|2024Q3,p90,38,33.77833756615978,True,True,True,True
strict_W1,2,2024Q3,2024Q2|2024Q3,p95,38,35.935145953943625,True,True,True,True
strict_W1,2,2024Q3,2024Q2|2024Q3,top3,38,37.339488276157454,True,True,True,True
strict_W1,2,2024Q4,2024Q3|2024Q4,p90,21,35.56935395079021,True,True,True,True
strict_W1,2,2024Q4,2024Q3|2024Q4,p95,21,38.00796730514634,True,True,True,True
strict_W1,2,2024Q4,2024Q3|2024Q4,top3,21,37.339488276157454,True,True,True,True
strict_W1,2,2025Q1,2024Q4|2025Q1,p90,7,31.519822021823142,True,True,True,False
strict_W1,2,2025Q1,2024Q4|2025Q1,p95,7,32.39109267968087,True,True,True,False
strict_W1,2,2025Q1,2024Q4|2025Q1,top3,7,30.830218381378938,True,True,True,False
strict_W1,3,2024Q4,2024Q2|2024Q3|2024Q4,p90,43,33.22170103757875,True,True,True,True
strict_W1,3,2024Q4,2024Q2|2024Q3|2024Q4,p95,43,35.5580856489586,True,True,True,True
strict_W1,3,2024Q4,2024Q2|2024Q3|2024Q4,top3,43,37.339488276157454,True,True,True,True
strict_W1,3,2025Q1,2024Q3|2024Q4|2025Q1,p90,23,35.107955828139886,True,True,True,True
strict_W1,3,2025Q1,2024Q3|2024Q4|2025Q1,p95,23,37.76410596971072,True,True,True,True
strict_W1,3,2025Q1,2024Q3|2024Q4|2025Q1,top3,23,37.339488276157454,True,True,True,True
license_W2,1,2024Q2,2024Q2,p90,12,25.58523208810486,True,True,True,True
license_W2,1,2024Q2,2024Q2,p95,12,28.982145133843897,True,True,True,True
license_W2,1,2024Q2,2024Q2,top3,12,27.913139721481045,True,True,True,True
license_W2,1,2024Q3,2024Q3,p90,9,33.57162456766141,True,True,True,False
license_W2,1,2024Q3,2024Q3,p95,9,35.78979593640387,True,True,True,False
license_W2,1,2024Q3,2024Q3,top3,9,34.15560012754988,True,True,True,False
license_W2,1,2024Q4,2024Q4,p90,4,31.944703534852636,True,True,False,False
license_W2,1,2024Q4,2024Q4,p95,4,32.60353343619562,True,True,False,False
license_W2,1,2024Q4,2024Q4,top3,4,26.04053216657182,True,True,False,False
license_W2,1,2025Q1,2025Q1,p90,2,30.08623735677516,True,False,False,False
license_W2,1,2025Q1,2025Q1,p95,2,30.222182584060665,True,False,False,False
license_W2,1,2025Q1,2025Q1,top3,2,28.998675538491128,True,False,False,False
license_W2,2,2024Q3,2024Q2|2024Q3,p90,21,32.46253888329018,True,True,True,True
license_W2,2,2024Q3,2024Q2|2024Q3,p95,21,33.059051837739325,True,True,True,True
license_W2,2,2024Q3,2024Q2|2024Q3,top3,21,34.50985267539195,True,True,True,True
license_W2,2,2024Q4,2024Q3|2024Q4,p90,13,33.102398446688916,True,True,True,True
license_W2,2,2024Q4,2024Q3|2024Q4,p95,13,35.16060492458169,True,True,True,True
license_W2,2,2024Q4,2024Q3|2024Q4,top3,13,34.57762317532504,True,True,True,True
license_W2,2,2025Q1,2024Q4|2025Q1,p90,6,31.810245574442384,True,True,True,False
license_W2,2,2025Q1,2024Q4|2025Q1,p95,6,32.536304455990496,True,True,True,False
license_W2,2,2025Q1,2024Q4|2025Q1,top3,6,30.830218381378938,True,True,True,False
license_W2,3,2024Q4,2024Q2|2024Q3|2024Q4,p90,25,32.82044665595967,True,True,True,True
license_W2,3,2024Q4,2024Q2|2024Q3|2024Q4,p95,25,33.22170103757875,True,True,True,True
license_W2,3,2024Q4,2024Q2|2024Q3|2024Q4,top3,25,34.77646082680809,True,True,True,True
